	Live births, absolute figures
January	
1966	5 633
1967	5 386
1968	5 326
1969	5 659
1970	5 384
1971	5 374
1972	5 366
1973	5 322
1974	5 223
1975	4 807
1976	4 449
1977	4 245
1978	4 056
1979	4 369
1980	4 094
1981	4 152
1982	4 117
1983	3 990
1984	4 037
1985	4 232
1986	4 200
1987	4 196
1988	4 705
1989	4 678
1990	5 118
1991	5 137
1992	4 943
1993	4 907
1994	4 914
1995	4 972
1996	4 975
1997	5 274
1998	4 742
1999	4 768
2000	4 838
2001	4 959
2002	4 664
2003	4 644
2004	4 873
2005	4 714
2006	4 742
2007	4 954
2008	4 916
2009	5 021
2010	5 078
2011	4 993
2012	4 956
2013	4 729
2014	4 885
2015	4 781
2016	4 860
2017	4 658
2018	4 471
2019	4 629
2020	4 331
2021	4 564
February	
1966	5 047
1967	5 203
1968	5 203
1969	5 264
1970	4 977
1971	5 033
1972	5 189
1973	5 045
1974	4 761
1975	4 554
1976	4 333
1977	4 091
1978	4 071
1979	4 111
1980	4 172
1981	4 116
1982	3 960
1983	3 914
1984	4 194
1985	3 990
1986	4 117
1987	4 117
1988	4 715
1989	4 661
1990	5 012
1991	4 926
1992	4 959
1993	4 577
1994	4 709
1995	4 788
1996	4 875
1997	4 760
1998	4 614
1999	4 610
2000	4 988
2001	4 495
2002	4 415
2003	4 226
2004	4 496
2005	4 445
2006	4 562
2007	4 455
2008	4 766
2009	4 683
2010	4 738
2011	4 482
2012	4 636
2013	4 510
2014	4 631
2015	4 519
2016	4 648
2017	4 315
2018	4 185
2019	4 227
2020	4 228
2021	4 315
March	
1966	6 207
1967	5 931
1968	5 951
1969	6 146
1970	5 866
1971	5 865
1972	5 954
1973	5 708
1974	5 651
1975	5 134
1976	5 036
1977	4 861
1978	4 823
1979	4 740
1980	4 783
1981	4 873
1982	4 894
1983	4 667
1984	4 631
1985	4 762
1986	4 745
1987	4 807
1988	5 247
1989	5 297
1990	5 516
1991	5 524
1992	5 469
1993	5 312
1994	5 422
1995	5 364
1996	5 408
1997	5 244
1998	5 185
1999	5 358
2000	5 326
2001	4 958
2002	4 777
2003	4 717
2004	4 996
2005	4 840
2006	5 150
2007	4 922
2008	5 032
2009	5 100
2010	5 181
2011	4 930
2012	5 173
2013	4 940
2014	4 878
2015	4 784
2016	5 035
2017	4 704
2018	4 590
2019	4 556
2020	4 474
2021	4 849
April	
1966	6 390
1967	6 295
1968	6 327
1969	6 387
1970	6 150
1971	6 057
1972	5 872
1973	5 711
1974	5 737
1975	5 425
1976	4 955
1977	4 796
1978	4 802
1979	4 902
1980	4 763
1981	4 697
1982	4 858
1983	4 540
1984	4 509
1985	4 728
1986	4 894
1987	4 856
1988	5 180
1989	5 235
1990	5 436
1991	5 489
1992	5 429
1993	5 406
1994	5 291
1995	5 333
1996	5 409
1997	5 446
1998	5 317
1999	5 207
2000	5 185
2001	5 009
2002	4 757
2003	4 782
2004	4 872
2005	4 979
2006	4 967
2007	4 909
2008	5 200
2009	5 329
2010	5 112
2011	5 149
2012	4 880
2013	5 033
2014	5 146
2015	5 129
2016	5 210
2017	4 879
2018	4 805
2019	4 560
2020	4 510
2021	4 671
May	
1966	6 110
1967	6 088
1968	6 114
1969	6 080
1970	5 617
1971	6 057
1972	5 803
1973	5 482
1974	5 410
1975	5 288
1976	4 611
1977	4 596
1978	4 727
1979	4 746
1980	4 668
1981	4 417
1982	4 593
1983	4 359
1984	4 484
1985	4 553
1986	4 581
1987	4 779
1988	5 087
1989	5 212
1990	5 275
1991	5 439
1992	5 293
1993	5 322
1994	5 328
1995	5 351
1996	5 387
1997	5 244
1998	5 021
1999	5 389
2000	5 421
2001	5 018
2002	4 831
2003	4 998
2004	4 869
2005	4 968
2006	5 224
2007	5 125
2008	5 428
2009	5 431
2010	5 262
2011	5 353
2012	5 345
2013	5 478
2014	5 370
2015	5 287
2016	5 383
2017	5 139
2018	4 943
2019	4 923
2020	4 700
2021	4 917
June	
1966	5 569
1967	5 577
1968	5 514
1969	5 643
1970	5 404
1971	5 467
1972	5 452
1973	5 093
1974	5 057
1975	4 611
1976	4 579
1977	4 367
1978	4 469
1979	4 307
1980	4 242
1981	4 225
1982	4 395
1983	4 320
1984	4 220
1985	4 210
1986	4 389
1987	4 635
1988	4 838
1989	4 945
1990	5 111
1991	5 057
1992	5 005
1993	5 094
1994	5 121
1995	5 274
1996	5 074
1997	5 154
1998	4 974
1999	5 064
2000	4 937
2001	4 955
2002	4 663
2003	4 718
2004	4 868
2005	4 940
2006	5 024
2007	5 149
2008	5 235
2009	5 446
2010	5 368
2011	5 392
2012	5 354
2013	5 167
2014	5 257
2015	5 397
2016	5 223
2017	5 101
2018	4 941
2019	4 764
2020	4 791
2021	4 989
July	
1966	5 413
1967	5 521
1968	5 517
1969	5 660
1970	5 321
1971	5 475
1972	5 415
1973	5 021
1974	5 011
1975	4 773
1976	4 463
1977	4 219
1978	4 281
1979	4 411
1980	4 397
1981	4 318
1982	4 266
1983	4 315
1984	4 346
1985	4 414
1986	4 599
1987	4 820
1988	4 822
1989	5 084
1990	5 132
1991	5 266
1992	5 141
1993	5 278
1994	5 242
1995	5 405
1996	5 343
1997	5 284
1998	5 319
1999	5 208
2000	5 201
2001	4 919
2002	5 072
2003	5 179
2004	5 210
2005	5 081
2006	5 318
2007	5 258
2008	5 548
2009	5 514
2010	5 576
2011	5 566
2012	5 587
2013	5 671
2014	5 487
2015	5 649
2016	5 473
2017	5 250
2018	5 050
