"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Belarus","2020","Total","January","Data tabulated by year of occurrence","Provisional figure","2020","7011",""
"Belarus","2020","Total","February","Data tabulated by year of occurrence","Provisional figure","2020","6563",""
"Belarus","2020","Total","March","Data tabulated by year of occurrence","Provisional figure","2020","6606",""
"Belarus","2020","Total","April","Data tabulated by year of occurrence","Provisional figure","2020","6181",""
"Belarus","2020","Total","May","Data tabulated by year of occurrence","Provisional figure","2020","7018",""
"Belarus","2020","Total","June","Data tabulated by year of occurrence","Provisional figure","2020","7012",""
"Belarus","2019","Total","Total","Data tabulated by year of occurrence","Provisional figure","2020","87851",""
"Belarus","2019","Total","January","Data tabulated by year of occurrence","Provisional figure","2019","7727",""
"Belarus","2019","Total","February","Data tabulated by year of occurrence","Provisional figure","2019","6669",""
"Belarus","2019","Total","March","Data tabulated by year of occurrence","Provisional figure","2019","7123",""
"Belarus","2019","Total","April","Data tabulated by year of occurrence","Provisional figure","2019","6947",""
"Belarus","2019","Total","May","Data tabulated by year of occurrence","Provisional figure","2019","7259",""
"Belarus","2019","Total","June","Data tabulated by year of occurrence","Provisional figure","2019","6847",""
"Belarus","2019","Total","July","Data tabulated by year of occurrence","Provisional figure","2019","8217",""
"Belarus","2019","Total","August","Data tabulated by year of occurrence","Provisional figure","2019","7993",""
"Belarus","2019","Total","September","Data tabulated by year of occurrence","Provisional figure","2019","7041",""
"Belarus","2019","Total","October","Data tabulated by year of occurrence","Provisional figure","2019","8131",""
"Belarus","2019","Total","November","Data tabulated by year of occurrence","Provisional figure","2019","7068",""
"Belarus","2019","Total","December","Data tabulated by year of occurrence","Provisional figure","2020","6829",""
"Belarus","2018","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2020","94042",""
"Belarus","2018","Total","January","Data tabulated by year of occurrence","Final figure, complete","2020","8348",""
"Belarus","2018","Total","February","Data tabulated by year of occurrence","Final figure, complete","2020","7229",""
"Belarus","2018","Total","March","Data tabulated by year of occurrence","Final figure, complete","2020","8000",""
"Belarus","2018","Total","April","Data tabulated by year of occurrence","Final figure, complete","2020","7675",""
"Belarus","2018","Total","May","Data tabulated by year of occurrence","Final figure, complete","2020","7699",""
"Belarus","2018","Total","June","Data tabulated by year of occurrence","Final figure, complete","2020","8028",""
"Belarus","2018","Total","July","Data tabulated by year of occurrence","Final figure, complete","2020","8540",""
"Belarus","2018","Total","August","Data tabulated by year of occurrence","Final figure, complete","2020","8276",""
"Belarus","2018","Total","September","Data tabulated by year of occurrence","Final figure, complete","2020","7959",""
"Belarus","2018","Total","October","Data tabulated by year of occurrence","Final figure, complete","2020","7887",""
"Belarus","2018","Total","November","Data tabulated by year of occurrence","Final figure, complete","2020","7482",""
"Belarus","2018","Total","December","Data tabulated by year of occurrence","Final figure, complete","2020","6919",""
"Belarus","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2019","102556",""
"Belarus","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2019","9032",""
"Belarus","2017","Total","February","Data tabulated by year of occurrence","Final figure, complete","2019","7908",""
"Belarus","2017","Total","March","Data tabulated by year of occurrence","Final figure, complete","2019","8679",""
"Belarus","2017","Total","April","Data tabulated by year of occurrence","Final figure, complete","2019","8004",""
"Belarus","2017","Total","May","Data tabulated by year of occurrence","Final figure, complete","2019","8775",""
