"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Canada","2019","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2021","372038","1"
"Canada","2019","Total","January","Data tabulated by year of occurrence","Final figure, complete","2021","30117","1"
"Canada","2019","Total","February","Data tabulated by year of occurrence","Final figure, complete","2021","27428","1"
"Canada","2019","Total","March","Data tabulated by year of occurrence","Final figure, complete","2021","30640","1"
"Canada","2019","Total","April","Data tabulated by year of occurrence","Final figure, complete","2021","30388","1"
"Canada","2019","Total","May","Data tabulated by year of occurrence","Final figure, complete","2021","32168","1"
"Canada","2019","Total","June","Data tabulated by year of occurrence","Final figure, complete","2021","31529","1"
"Canada","2019","Total","July","Data tabulated by year of occurrence","Final figure, complete","2021","33892","1"
"Canada","2019","Total","August","Data tabulated by year of occurrence","Final figure, complete","2021","33357","1"
"Canada","2019","Total","September","Data tabulated by year of occurrence","Final figure, complete","2021","32387","1"
"Canada","2019","Total","October","Data tabulated by year of occurrence","Final figure, complete","2021","31549","1"
"Canada","2019","Total","November","Data tabulated by year of occurrence","Final figure, complete","2021","29439","1"
"Canada","2019","Total","December","Data tabulated by year of occurrence","Final figure, complete","2021","29144","1"
"Canada","2018","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2020","372329","1"
"Canada","2018","Total","January","Data tabulated by year of occurrence","Final figure, complete","2020","30428","1"
"Canada","2018","Total","February","Data tabulated by year of occurrence","Final figure, complete","2020","27578","1"
"Canada","2018","Total","March","Data tabulated by year of occurrence","Final figure, complete","2020","31011","1"
"Canada","2018","Total","April","Data tabulated by year of occurrence","Final figure, complete","2020","30280","1"
"Canada","2018","Total","May","Data tabulated by year of occurrence","Final figure, complete","2020","32707","1"
"Canada","2018","Total","June","Data tabulated by year of occurrence","Final figure, complete","2020","31646","1"
"Canada","2018","Total","July","Data tabulated by year of occurrence","Final figure, complete","2020","33129","1"
