"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Finland","2021","Total","January - March","Data tabulated by year of occurrence","Provisional figure","2021","12156",""
"Finland","2021","Total","April - June","Data tabulated by year of occurrence","Provisional figure","2021","12384",""
"Finland","2021","Total","July - September","Data tabulated by year of occurrence","Provisional figure","2021","13107",""
"Finland","2020","Total","Total","Data tabulated by year of occurrence","Provisional figure","2021","46372",""
"Finland","2020","Total","January - March","Data tabulated by year of occurrence","Provisional figure","2020","11407",""
"Finland","2020","Total","April - June","Data tabulated by year of occurrence","Provisional figure","2020","11460",""
"Finland","2020","Total","July - September","Data tabulated by year of occurrence","Provisional figure","2020","12312",""
"Finland","2020","Total","October - December","Data tabulated by year of occurrence","Provisional figure","2021","11193",""
"Finland","2019","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2021","45613",""
"Finland","2019","Total","January","Data tabulated by year of occurrence","Final figure, complete","2021","3867",""
"Finland","2019","Total","February","Data tabulated by year of occurrence","Final figure, complete","2021","3288",""
"Finland","2019","Total","March","Data tabulated by year of occurrence","Final figure, complete","2021","3778",""
"Finland","2019","Total","April","Data tabulated by year of occurrence","Final figure, complete","2021","3750",""
"Finland","2019","Total","May","Data tabulated by year of occurrence","Final figure, complete","2021","3735",""
"Finland","2019","Total","June","Data tabulated by year of occurrence","Final figure, complete","2021","3817",""
"Finland","2019","Total","July","Data tabulated by year of occurrence","Final figure, complete","2021","4128",""
"Finland","2019","Total","August","Data tabulated by year of occurrence","Final figure, complete","2021","4122",""
"Finland","2019","Total","September","Data tabulated by year of occurrence","Final figure, complete","2021","4052",""
"Finland","2019","Total","October","Data tabulated by year of occurrence","Final figure, complete","2021","3848",""
"Finland","2019","Total","November","Data tabulated by year of occurrence","Final figure, complete","2021","3649",""
"Finland","2019","Total","December","Data tabulated by year of occurrence","Final figure, complete","2021","3579",""
"Finland","2018","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2020","47577",""
"Finland","2018","Total","January","Data tabulated by year of occurrence","Final figure, complete","2020","4088",""
"Finland","2018","Total","February","Data tabulated by year of occurrence","Final figure, complete","2020","3657",""
"Finland","2018","Total","March","Data tabulated by year of occurrence","Final figure, complete","2020","3974",""
"Finland","2018","Total","April","Data tabulated by year of occurrence","Final figure, complete","2020","3989",""
"Finland","2018","Total","May","Data tabulated by year of occurrence","Final figure, complete","2020","4113",""
"Finland","2018","Total","June","Data tabulated by year of occurrence","Final figure, complete","2020","4051",""
"Finland","2018","Total","July","Data tabulated by year of occurrence","Final figure, complete","2020","4222",""
"Finland","2018","Total","August","Data tabulated by year of occurrence","Final figure, complete","2020","4351",""
"Finland","2018","Total","September","Data tabulated by year of occurrence","Final figure, complete","2020","3944",""
"Finland","2018","Total","October","Data tabulated by year of occurrence","Final figure, complete","2020","3915",""
"Finland","2018","Total","November","Data tabulated by year of occurrence","Final figure, complete","2020","3719",""
"Finland","2018","Total","December","Data tabulated by year of occurrence","Final figure, complete","2020","3554",""
"Finland","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2019","50321",""
"Finland","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2019","4152",""
"Finland","2017","Total","February","Data tabulated by year of occurrence","Final figure, complete","2019","3814",""
"Finland","2017","Total","March","Data tabulated by year of occurrence","Final figure, complete","2019","4180",""
"Finland","2017","Total","April","Data tabulated by year of occurrence","Final figure, complete","2019","4062",""
"Finland","2017","Total","May","Data tabulated by year of occurrence","Final figure, complete","2019","4338",""
"Finland","2017","Total","June","Data tabulated by year of occurrence","Final figure, complete","2019","4421",""
"Finland","2017","Total","July","Data tabulated by year of occurrence","Final figure, complete","2019","4615",""
"Finland","2017","Total","August","Data tabulated by year of occurrence","Final figure, complete","2019","4559",""
"Finland","2017","Total","September","Data tabulated by year of occurrence","Final figure, complete","2019","4204",""
"Finland","2017","Total","October","Data tabulated by year of occurrence","Final figure, complete","2019","4275",""
"Finland","2017","Total","November","Data tabulated by year of occurrence","Final figure, complete","2019","3878",""
"Finland","2017","Total","December","Data tabulated by year of occurrence","Final figure, complete","2019","3823",""
"Finland","2016","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","52814",""
"Finland","2016","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","4416",""
"Finland","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","4094",""
"Finland","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","4533",""
"Finland","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","4458",""
"Finland","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","4622",""
"Finland","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","4507",""
"Finland","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","4619",""
"Finland","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","4727",""
"Finland","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","4604",""
"Finland","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","4411",""
"Finland","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","3984",""
"Finland","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","3839",""
"Finland","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","55472",""
"Finland","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","4659",""
"Finland","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","4209",""
"Finland","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","4603",""
"Finland","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","4629",""
"Finland","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","4633",""
"Finland","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","4696",""
"Finland","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","5010",""
"Finland","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","4882",""
"Finland","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","4756",""
"Finland","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","4615",""
"Finland","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","4500",""
"Finland","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","4280",""
"Finland","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","57079",""
"Finland","2014","Total","January - March","Data tabulated by year of occurrence","Final figure, complete","2014","13934",""
"Finland","2014","Total","April - June","Data tabulated by year of occurrence","Final figure, complete","2014","14547",""
"Finland","2014","Total","July - September","Data tabulated by year of occurrence","Final figure, complete","2014","15333",""
"Finland","2014","Total","October - December","Data tabulated by year of occurrence","Final figure, complete","2015","13240",""
"Finland","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","58134",""
"Finland","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","4837",""
"Finland","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","4463",""
"Finland","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","4970",""
"Finland","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","4840",""
"Finland","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","5014",""
"Finland","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","4866",""
"Finland","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","5247",""
"Finland","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","5134",""
"Finland","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","5025",""
"Finland","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","4987",""
"Finland","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","4400",""
"Finland","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","4351",""
"Finland","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","59493",""
"Finland","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","4991",""
"Finland","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","4722",""
"Finland","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","5061",""
"Finland","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","4822",""
"Finland","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","5003",""
"Finland","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","5047",""
"Finland","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","5384",""
"Finland","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","5388",""
"Finland","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","4990",""
"Finland","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","4832",""
"Finland","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","4769",""
"Finland","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","4484",""
"Finland","2011","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","59961",""
