"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"France","2019","Total","January","Data tabulated by year of occurrence","Provisional figure","2019","59900",""
"France","2019","Total","February","Data tabulated by year of occurrence","Provisional figure","2019","51800",""
"France","2019","Total","March","Data tabulated by year of occurrence","Provisional figure","2019","56500",""
"France","2018","Total","Total","Data tabulated by year of occurrence","Provisional figure","2019","719900",""
"France","2018","Total","January","Data tabulated by year of occurrence","Provisional figure","2018","59800",""
"France","2018","Total","February","Data tabulated by year of occurrence","Provisional figure","2018","52800",""
"France","2018","Total","March","Data tabulated by year of occurrence","Provisional figure","2018","56400",""
"France","2018","Total","April","Data tabulated by year of occurrence","Provisional figure","2018","55400",""
"France","2018","Total","May","Data tabulated by year of occurrence","Provisional figure","2018","61300",""
"France","2018","Total","June","Data tabulated by year of occurrence","Provisional figure","2018","60300",""
"France","2018","Total","July","Data tabulated by year of occurrence","Provisional figure","2018","64800",""
"France","2018","Total","August","Data tabulated by year of occurrence","Provisional figure","2018","63900",""
"France","2018","Total","September","Data tabulated by year of occurrence","Provisional figure","2019","61900",""
"France","2018","Total","October","Data tabulated by year of occurrence","Provisional figure","2019","63600",""
"France","2018","Total","November","Data tabulated by year of occurrence","Provisional figure","2019","59900",""
"France","2018","Total","December","Data tabulated by year of occurrence","Provisional figure","2019","59800",""
"France","2017","Total","Total","Data tabulated by year of occurrence","Provisional figure","2018","730700",""
"France","2017","Total","January","Data tabulated by year of occurrence","Provisional figure","2017","60500",""
"France","2017","Total","February","Data tabulated by year of occurrence","Provisional figure","2017","55000",""
"France","2017","Total","March","Data tabulated by year of occurrence","Provisional figure","2017","58700",""
"France","2017","Total","April","Data tabulated by year of occurrence","Provisional figure","2017","57200",""
"France","2017","Total","May","Data tabulated by year of occurrence","Provisional figure","2017","62100",""
"France","2017","Total","June","Data tabulated by year of occurrence","Provisional figure","2017","60000",""
"France","2017","Total","July","Data tabulated by year of occurrence","Provisional figure","2017","65200",""
"France","2017","Total","August","Data tabulated by year of occurrence","Provisional figure","2017","64700",""
"France","2017","Total","September","Data tabulated by year of occurrence","Provisional figure","2017","61700",""
"France","2017","Total","October","Data tabulated by year of occurrence","Provisional figure","2018","63900",""
"France","2017","Total","November","Data tabulated by year of occurrence","Provisional figure","2018","60800",""
"France","2017","Total","December","Data tabulated by year of occurrence","Provisional figure","2018","60900",""
"France","2016","Total","Total","Data tabulated by year of occurrence","Provisional figure","2017","745000",""
"France","2016","Total","January","Data tabulated by year of occurrence","Provisional figure","2016","62600",""
"France","2016","Total","February","Data tabulated by year of occurrence","Provisional figure","2016","57900",""
"France","2016","Total","March","Data tabulated by year of occurrence","Provisional figure","2016","59700",""
"France","2016","Total","April","Data tabulated by year of occurrence","Provisional figure","2016","57300",""
"France","2016","Total","May","Data tabulated by year of occurrence","Provisional figure","2016","62400",""
"France","2016","Total","June","Data tabulated by year of occurrence","Provisional figure","2016","62800",""
"France","2016","Total","July","Data tabulated by year of occurrence","Provisional figure","2016","67300",""
"France","2016","Total","August","Data tabulated by year of occurrence","Provisional figure","2016","65100",""
"France","2016","Total","September","Data tabulated by year of occurrence","Provisional figure","2016","63600",""
"France","2016","Total","October","Data tabulated by year of occurrence","Provisional figure","2016","64500",""
"France","2016","Total","November","Data tabulated by year of occurrence","Provisional figure","2017","60600",""
"France","2016","Total","December","Data tabulated by year of occurrence","Provisional figure","2017","61200",""
"France","2015","Total","Total","Data tabulated by year of occurrence","Provisional figure","2016","762000",""
"France","2015","Total","January","Data tabulated by year of occurrence","Provisional figure","2015","64600",""
"France","2015","Total","February","Data tabulated by year of occurrence","Provisional figure","2015","57500",""
"France","2015","Total","March","Data tabulated by year of occurrence","Provisional figure","2015","61100",""
"France","2015","Total","April","Data tabulated by year of occurrence","Provisional figure","2015","59700",""
"France","2015","Total","May","Data tabulated by year of occurrence","Provisional figure","2015","64200",""
"France","2015","Total","June","Data tabulated by year of occurrence","Provisional figure","2015","64000",""
"France","2015","Total","July","Data tabulated by year of occurrence","Provisional figure","2015","66700",""
