"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Japan","2021","Total","January","Data tabulated by year of occurrence","Provisional figure","2021","57574","1"
"Japan","2021","Total","February","Data tabulated by year of occurrence","Provisional figure","2021","57333","1"
"Japan","2021","Total","March","Data tabulated by year of occurrence","Provisional figure","2021","66702","1"
"Japan","2021","Total","April","Data tabulated by year of occurrence","Provisional figure","2021","68271","1"
"Japan","2021","Total","May","Data tabulated by year of occurrence","Provisional figure","2021","68111","1"
"Japan","2021","Total","June","Data tabulated by year of occurrence","Provisional figure","2021","68549","1"
"Japan","2021","Total","July","Data tabulated by year of occurrence","Provisional figure","2021","71727","1"
"Japan","2021","Total","August","Data tabulated by year of occurrence","Provisional figure","2022","73000","1"
"Japan","2020","Total","January","Data tabulated by year of occurrence","Provisional figure","2021","68151","1"
"Japan","2020","Total","February","Data tabulated by year of occurrence","Provisional figure","2021","64040","1"
"Japan","2020","Total","March","Data tabulated by year of occurrence","Provisional figure","2021","68513","1"
"Japan","2020","Total","April","Data tabulated by year of occurrence","Provisional figure","2021","71100","1"
"Japan","2020","Total","May","Data tabulated by year of occurrence","Provisional figure","2021","69536","1"
"Japan","2020","Total","June","Data tabulated by year of occurrence","Provisional figure","2021","70451","1"
"Japan","2020","Total","July","Data tabulated by year of occurrence","Provisional figure","2021","74218","1"
"Japan","2020","Total","August","Data tabulated by year of occurrence","Provisional figure","2021","72986","1"
"Japan","2020","Total","September","Data tabulated by year of occurrence","Provisional figure","2021","73050","1"
"Japan","2020","Total","October","Data tabulated by year of occurrence","Provisional figure","2021","71957","1"
"Japan","2020","Total","November","Data tabulated by year of occurrence","Provisional figure","2021","66720","1"
"Japan","2020","Total","December","Data tabulated by year of occurrence","Provisional figure","2021","70110","1"
"Japan","2019","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2021","865239","1"
"Japan","2019","Total","January","Data tabulated by year of occurrence","Final figure, complete","2021","72864","1"
"Japan","2019","Total","February","Data tabulated by year of occurrence","Final figure, complete","2021","64376","1"
"Japan","2019","Total","March","Data tabulated by year of occurrence","Final figure, complete","2021","69420","1"
"Japan","2019","Total","April","Data tabulated by year of occurrence","Final figure, complete","2021","70154","1"
"Japan","2019","Total","May","Data tabulated by year of occurrence","Final figure, complete","2021","75171","1"
"Japan","2019","Total","June","Data tabulated by year of occurrence","Final figure, complete","2021","71154","1"
"Japan","2019","Total","July","Data tabulated by year of occurrence","Final figure, complete","2021","76046","1"
"Japan","2019","Total","August","Data tabulated by year of occurrence","Final figure, complete","2021","75705","1"
"Japan","2019","Total","September","Data tabulated by year of occurrence","Final figure, complete","2021","73973","1"
"Japan","2019","Total","October","Data tabulated by year of occurrence","Final figure, complete","2021","74007","1"
