"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Norway","2021","Total","January - March","Data tabulated by year of occurrence","Provisional figure","2021","13726",""
"Norway","2021","Total","April - June","Data tabulated by year of occurrence","Provisional figure","2021","14578",""
"Norway","2021","Total","July - September","Data tabulated by year of occurrence","Provisional figure","2021","15165",""
"Norway","2020","Total","Total","Data tabulated by year of occurrence","Provisional figure","2021","52984",""
"Norway","2020","Total","January - March","Data tabulated by year of occurrence","Provisional figure","2020","13036",""
"Norway","2020","Total","April - June","Data tabulated by year of occurrence","Provisional figure","2020","14003",""
"Norway","2020","Total","July - September","Data tabulated by year of occurrence","Provisional figure","2020","14102",""
"Norway","2020","Total","October - December","Data tabulated by year of occurrence","Provisional figure","2021","11843",""
"Norway","2019","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2021","54495",""
"Norway","2019","Total","January","Data tabulated by year of occurrence","Final figure, complete","2021","4629",""
"Norway","2019","Total","February","Data tabulated by year of occurrence","Final figure, complete","2021","4227",""
"Norway","2019","Total","March","Data tabulated by year of occurrence","Final figure, complete","2021","4556",""
"Norway","2019","Total","April","Data tabulated by year of occurrence","Final figure, complete","2021","4560",""
"Norway","2019","Total","May","Data tabulated by year of occurrence","Final figure, complete","2021","4923",""
"Norway","2019","Total","June","Data tabulated by year of occurrence","Final figure, complete","2021","4764",""
"Norway","2019","Total","July","Data tabulated by year of occurrence","Final figure, complete","2021","5042",""
"Norway","2019","Total","August","Data tabulated by year of occurrence","Final figure, complete","2021","4907",""
"Norway","2019","Total","September","Data tabulated by year of occurrence","Final figure, complete","2021","4742",""
"Norway","2019","Total","October","Data tabulated by year of occurrence","Final figure, complete","2021","4507",""
"Norway","2019","Total","November","Data tabulated by year of occurrence","Final figure, complete","2021","4006",""
"Norway","2019","Total","December","Data tabulated by year of occurrence","Final figure, complete","2021","3632",""
"Norway","2018","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2020","55120",""
"Norway","2018","Total","January","Data tabulated by year of occurrence","Final figure, complete","2020","4471",""
"Norway","2018","Total","February","Data tabulated by year of occurrence","Final figure, complete","2020","4185",""
"Norway","2018","Total","March","Data tabulated by year of occurrence","Final figure, complete","2020","4590",""
"Norway","2018","Total","April","Data tabulated by year of occurrence","Final figure, complete","2020","4805",""
"Norway","2018","Total","May","Data tabulated by year of occurrence","Final figure, complete","2020","4943",""
"Norway","2018","Total","June","Data tabulated by year of occurrence","Final figure, complete","2020","4941",""
"Norway","2018","Total","July","Data tabulated by year of occurrence","Final figure, complete","2020","5050",""
"Norway","2018","Total","August","Data tabulated by year of occurrence","Final figure, complete","2020","5087",""
"Norway","2018","Total","September","Data tabulated by year of occurrence","Final figure, complete","2020","4714",""
"Norway","2018","Total","October","Data tabulated by year of occurrence","Final figure, complete","2020","4539",""
"Norway","2018","Total","November","Data tabulated by year of occurrence","Final figure, complete","2020","3971",""
"Norway","2018","Total","December","Data tabulated by year of occurrence","Final figure, complete","2020","3824",""
"Norway","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2019","56633",""
"Norway","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2019","4658",""
"Norway","2017","Total","February","Data tabulated by year of occurrence","Final figure, complete","2019","4314",""
"Norway","2017","Total","March","Data tabulated by year of occurrence","Final figure, complete","2019","4704",""
"Norway","2017","Total","April","Data tabulated by year of occurrence","Final figure, complete","2019","4880",""
"Norway","2017","Total","May","Data tabulated by year of occurrence","Final figure, complete","2019","5139",""
"Norway","2017","Total","June","Data tabulated by year of occurrence","Final figure, complete","2019","5101",""
"Norway","2017","Total","July","Data tabulated by year of occurrence","Final figure, complete","2019","5248",""
"Norway","2017","Total","August","Data tabulated by year of occurrence","Final figure, complete","2019","5046",""
"Norway","2017","Total","September","Data tabulated by year of occurrence","Final figure, complete","2019","4790",""
"Norway","2017","Total","October","Data tabulated by year of occurrence","Final figure, complete","2019","4586",""
"Norway","2017","Total","November","Data tabulated by year of occurrence","Final figure, complete","2019","4215",""
"Norway","2017","Total","December","Data tabulated by year of occurrence","Final figure, complete","2019","3952",""
"Norway","2016","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","58890",""
"Norway","2016","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","4856",""
"Norway","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","4648",""
"Norway","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","5036",""
"Norway","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","5209",""
"Norway","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","5377",""
"Norway","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","5224",""
"Norway","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","5475",""
"Norway","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","5192",""
"Norway","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","4777",""
"Norway","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","4600",""
"Norway","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","4338",""
"Norway","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","4158",""
"Norway","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","58815",""
"Norway","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","4760",""
"Norway","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","4497",""
"Norway","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","4759",""
"Norway","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","5113",""
