"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Russian Federation","2013","Total","Total","Data tabulated by year of occurrence","Provisional figure","2014","1901182",""
"Russian Federation","2013","Total","January","Data tabulated by year of occurrence","Provisional figure","2013","158930",""
"Russian Federation","2013","Total","February","Data tabulated by year of occurrence","Provisional figure","2013","142973",""
"Russian Federation","2013","Total","March","Data tabulated by year of occurrence","Provisional figure","2013","146062",""
"Russian Federation","2013","Total","April","Data tabulated by year of occurrence","Provisional figure","2013","152913",""
"Russian Federation","2013","Total","May","Data tabulated by year of occurrence","Provisional figure","2013","152496",""
"Russian Federation","2013","Total","June","Data tabulated by year of occurrence","Provisional figure","2013","149800",""
"Russian Federation","2013","Total","July","Data tabulated by year of occurrence","Provisional figure","2013","181907",""
"Russian Federation","2013","Total","August","Data tabulated by year of occurrence","Provisional figure","2013","169963",""
"Russian Federation","2013","Total","September","Data tabulated by year of occurrence","Provisional figure","2013","156199",""
"Russian Federation","2013","Total","October","Data tabulated by year of occurrence","Provisional figure","2013","180373",""
"Russian Federation","2013","Total","November","Data tabulated by year of occurrence","Provisional figure","2014","151662",""
"Russian Federation","2013","Total","December","Data tabulated by year of occurrence","Provisional figure","2014","157904",""
"Russian Federation","2012","Total","Total","Data tabulated by year of occurrence","Provisional figure","2013","1896263",""
"Russian Federation","2012","Total","January","Data tabulated by year of occurrence","Provisional figure","2012","143790",""
"Russian Federation","2012","Total","February","Data tabulated by year of occurrence","Provisional figure","2012","150544",""
"Russian Federation","2012","Total","March","Data tabulated by year of occurrence","Provisional figure","2012","157323",""
"Russian Federation","2012","Total","April","Data tabulated by year of occurrence","Provisional figure","2012","140563",""
"Russian Federation","2012","Total","May","Data tabulated by year of occurrence","Provisional figure","2012","160160",""
"Russian Federation","2012","Total","June","Data tabulated by year of occurrence","Provisional figure","2012","153359",""
"Russian Federation","2012","Total","July","Data tabulated by year of occurrence","Provisional figure","2012","170949",""
"Russian Federation","2012","Total","August","Data tabulated by year of occurrence","Provisional figure","2012","176707",""
"Russian Federation","2012","Total","September","Data tabulated by year of occurrence","Provisional figure","2012","155869",""
"Russian Federation","2012","Total","October","Data tabulated by year of occurrence","Provisional figure","2012","177661",""
"Russian Federation","2012","Total","November","Data tabulated by year of occurrence","Provisional figure","2012","157272",""
"Russian Federation","2012","Total","December","Data tabulated by year of occurrence","Provisional figure","2013","152066",""
"Russian Federation","2011","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","1796629","1"
"Russian Federation","2011","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","148754","1"
"Russian Federation","2011","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","131841","1"
"Russian Federation","2011","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","146653","1"
"Russian Federation","2011","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","135260","1"
"Russian Federation","2011","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","136971","1"
"Russian Federation","2011","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","154168","1"
"Russian Federation","2011","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","166152","1"
"Russian Federation","2011","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","165339","1"
"Russian Federation","2011","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","159134","1"
"Russian Federation","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","153352","1"
"Russian Federation","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","147750","1"
"Russian Federation","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","151255","1"
"Russian Federation","2011","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2012","0","1"
"Russian Federation","2010","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2010","1788948","1"
"Russian Federation","2010","Total","January","Data tabulated by year of occurrence","Final figure, complete","2010","148476","1"
"Russian Federation","2010","Total","February","Data tabulated by year of occurrence","Final figure, complete","2010","135505","1"
"Russian Federation","2010","Total","March","Data tabulated by year of occurrence","Final figure, complete","2010","149614","1"
"Russian Federation","2010","Total","April","Data tabulated by year of occurrence","Final figure, complete","2010","144876","1"
"Russian Federation","2010","Total","May","Data tabulated by year of occurrence","Final figure, complete","2010","147450","1"
