"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Sweden","2021","Total","January","Data tabulated by year of occurrence","Provisional figure","2021","9055",""
"Sweden","2021","Total","February","Data tabulated by year of occurrence","Provisional figure","2021","8979",""
"Sweden","2021","Total","March","Data tabulated by year of occurrence","Provisional figure","2021","10051",""
"Sweden","2021","Total","April","Data tabulated by year of occurrence","Provisional figure","2021","9813",""
"Sweden","2021","Total","May","Data tabulated by year of occurrence","Provisional figure","2021","10311",""
"Sweden","2021","Total","June","Data tabulated by year of occurrence","Provisional figure","2021","10268",""
"Sweden","2021","Total","July","Data tabulated by year of occurrence","Provisional figure","2021","10312",""
"Sweden","2021","Total","September","Data tabulated by year of occurrence","Provisional figure","2021","9408",""
"Sweden","2021","Total","October","Data tabulated by year of occurrence","Provisional figure","2021","9314",""
"Sweden","2021","Total","November","Data tabulated by year of occurrence","Provisional figure","2022","8484",""
"Sweden","2020","Total","January","Data tabulated by year of occurrence","Provisional figure","2020","9670",""
"Sweden","2020","Total","February","Data tabulated by year of occurrence","Provisional figure","2020","8948",""
"Sweden","2020","Total","March","Data tabulated by year of occurrence","Provisional figure","2020","9632",""
"Sweden","2020","Total","April","Data tabulated by year of occurrence","Provisional figure","2020","9706",""
"Sweden","2020","Total","May","Data tabulated by year of occurrence","Provisional figure","2020","10402",""
"Sweden","2020","Total","July","Data tabulated by year of occurrence","Provisional figure","2020","10112",""
"Sweden","2020","Total","August","Data tabulated by year of occurrence","Provisional figure","2020","9951",""
"Sweden","2020","Total","September","Data tabulated by year of occurrence","Provisional figure","2020","9313",""
"Sweden","2020","Total","October","Data tabulated by year of occurrence","Provisional figure","2020","9168",""
"Sweden","2020","Total","November","Data tabulated by year of occurrence","Provisional figure","2021","8188",""
"Sweden","2019","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2021","114523",""
"Sweden","2019","Total","January","Data tabulated by year of occurrence","Final figure, complete","2021","9620",""
"Sweden","2019","Total","February","Data tabulated by year of occurrence","Final figure, complete","2021","8821",""
"Sweden","2019","Total","March","Data tabulated by year of occurrence","Final figure, complete","2021","9811",""
"Sweden","2019","Total","April","Data tabulated by year of occurrence","Final figure, complete","2021","10064",""
"Sweden","2019","Total","May","Data tabulated by year of occurrence","Final figure, complete","2021","10278",""
"Sweden","2019","Total","June","Data tabulated by year of occurrence","Final figure, complete","2021","10014",""
"Sweden","2019","Total","July","Data tabulated by year of occurrence","Final figure, complete","2021","10478",""
"Sweden","2019","Total","August","Data tabulated by year of occurrence","Final figure, complete","2021","10241",""
"Sweden","2019","Total","September","Data tabulated by year of occurrence","Final figure, complete","2021","9338",""
"Sweden","2019","Total","October","Data tabulated by year of occurrence","Final figure, complete","2021","9351",""
"Sweden","2019","Total","November","Data tabulated by year of occurrence","Final figure, complete","2021","8431",""
"Sweden","2019","Total","December","Data tabulated by year of occurrence","Final figure, complete","2021","8076",""
"Sweden","2018","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2020","115832",""
"Sweden","2018","Total","January","Data tabulated by year of occurrence","Final figure, complete","2020","9378",""
"Sweden","2018","Total","February","Data tabulated by year of occurrence","Final figure, complete","2020","8722",""
"Sweden","2018","Total","March","Data tabulated by year of occurrence","Final figure, complete","2020","10077",""
"Sweden","2018","Total","April","Data tabulated by year of occurrence","Final figure, complete","2020","10227",""
"Sweden","2018","Total","May","Data tabulated by year of occurrence","Final figure, complete","2020","10498",""
"Sweden","2018","Total","June","Data tabulated by year of occurrence","Final figure, complete","2020","10154",""
"Sweden","2018","Total","July","Data tabulated by year of occurrence","Final figure, complete","2020","10431",""
"Sweden","2018","Total","August","Data tabulated by year of occurrence","Final figure, complete","2020","10418",""
"Sweden","2018","Total","September","Data tabulated by year of occurrence","Final figure, complete","2020","9624",""
"Sweden","2018","Total","October","Data tabulated by year of occurrence","Final figure, complete","2020","9401",""
"Sweden","2018","Total","November","Data tabulated by year of occurrence","Final figure, complete","2020","8549",""
"Sweden","2018","Total","December","Data tabulated by year of occurrence","Final figure, complete","2020","8353",""
"Sweden","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2019","115416",""
"Sweden","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2019","9491",""
"Sweden","2017","Total","February","Data tabulated by year of occurrence","Final figure, complete","2019","9110",""
"Sweden","2017","Total","March","Data tabulated by year of occurrence","Final figure, complete","2019","9997",""
"Sweden","2017","Total","April","Data tabulated by year of occurrence","Final figure, complete","2019","9945",""
"Sweden","2017","Total","May","Data tabulated by year of occurrence","Final figure, complete","2019","10571",""
"Sweden","2017","Total","June","Data tabulated by year of occurrence","Final figure, complete","2019","9895",""
"Sweden","2017","Total","July","Data tabulated by year of occurrence","Final figure, complete","2019","10503",""
"Sweden","2017","Total","August","Data tabulated by year of occurrence","Final figure, complete","2019","10147",""
"Sweden","2017","Total","September","Data tabulated by year of occurrence","Final figure, complete","2019","9555",""
"Sweden","2017","Total","October","Data tabulated by year of occurrence","Final figure, complete","2019","9381",""
"Sweden","2017","Total","November","Data tabulated by year of occurrence","Final figure, complete","2019","8580",""
"Sweden","2017","Total","December","Data tabulated by year of occurrence","Final figure, complete","2019","8241",""
"Sweden","2016","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","117425",""
"Sweden","2016","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","9677",""
"Sweden","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","9349",""
"Sweden","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","10246",""
"Sweden","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","10130",""
"Sweden","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","10758",""
"Sweden","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","10262",""
"Sweden","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","10455",""
"Sweden","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","10121",""
"Sweden","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","10020",""
"Sweden","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","9365",""
"Sweden","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","8537",""
"Sweden","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","8505",""
"Sweden","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","114870",""
"Sweden","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","9460",""
"Sweden","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","8776",""
"Sweden","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","9501",""
"Sweden","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","9982",""
"Sweden","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","10224",""
"Sweden","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","9981",""
"Sweden","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","10455",""
"Sweden","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","9964",""
"Sweden","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","9938",""
"Sweden","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","9614",""
"Sweden","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","8563",""
"Sweden","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","8412",""
"Sweden","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2016","114907",""
"Sweden","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2016","9122",""
"Sweden","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2016","8804",""
"Sweden","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2016","10034",""
"Sweden","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2016","10277",""
"Sweden","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2016","10319",""
"Sweden","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2016","10180",""
"Sweden","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2016","10560",""
"Sweden","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2016","10095",""
"Sweden","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2016","9641",""
"Sweden","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2016","9304",""
"Sweden","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2016","8403",""
"Sweden","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2016","8168",""
"Sweden","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","113593",""
"Sweden","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","9500",""
"Sweden","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","8717",""
"Sweden","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","9916",""
"Sweden","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","10034",""
"Sweden","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","10230",""
"Sweden","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","9716",""
"Sweden","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","10506",""
"Sweden","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","10199",""
"Sweden","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","9426",""
"Sweden","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","9081",""
"Sweden","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","8167",""
"Sweden","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","8101",""
"Sweden","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","113177",""
"Sweden","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","9153",""
"Sweden","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","9282",""
"Sweden","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","9629",""
"Sweden","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","9688",""
