No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Bailly-Salins	Patrice	FRA	14	1	12.1	16.2	3	0	1	4	6	9	13	13	13	1	0	0	0
2	Fischer	Sven	GER	14	2	6.7	17.1	2	1	1	4	8	12	13	14	14	0	0	0	0
3	Tarasov	Sergei Sen.	RUS	14	7	16.1	10.1	2	0	2	4	4	8	9	11	13	1	0	0	0
4	Maigourov	Viktor	BLR	14	8	27.8	9.8	1	2	0	3	3	5	7	8	11	3	0	0	0
5	Luck	Frank	GER	14	3	12.1	12.4	1	1	3	5	6	8	11	12	14	0	0	0	0
6	Tchepikov	Sergei	RUS	9	31	18.3	6.0	1	1	0	2	2	3	5	8	8	1	0	0	0
7	Favre	Patrick	ITA	12	18	28.6	5.9	1	1	0	2	2	2	3	7	10	2	0	0	0
8	Glimsdal	Sylfest	NOR	13	13	22.5	7.7	1	0	0	1	2	4	6	9	12	1	0	0	0
9	Leitgeb	Hubert	ITA	12	19	42.4	5.8	1	0	0	1	2	2	3	6	6	6	0	0	0
10	Pallhuber	Wilfried	ITA	14	5	18.3	10.2	1	0	0	1	1	6	9	12	13	1	0	0	0
11	Gross	Ricco	GER	13	6	19.1	11.5	0	2	0	2	4	7	8	11	12	1	0	0	0
12	Kirienko	Valeri	RUS	14	4	18.5	11.3	0	1	2	3	4	4	10	11	12	2	0	0	0
13	Drachev	Vladimir	RUS	12	10	14.8	10.9	0	1	0	1	3	6	8	10	12	0	0	0	0
14	Carrara	Pieralberto	ITA	12	17	27.8	6.7	0	1	0	1	3	3	5	10	10	2	0	0	0
15	Hietalahti	Vesa	FIN	8	22	38.0	8.4	0	1	0	1	2	2	3	4	4	4	0	0	0
16	Sashurin	Vadim	BLR	11	11	20.4	9.6	0	1	0	1	1	3	6	9	9	2	0	0	0
17	Garabik	Petr	CZE	13	15	24.3	6.5	0	1	0	1	1	2	8	10	11	2	0	0	0
18	Popov	Alexandr	BLR	10	20	20.8	6.8	0	0	1	1	3	4	6	6	9	1	0	0	0
19	Zingerle	Andreas	ITA	14	9	19.7	10.6	0	0	1	1	1	7	10	11	11	3	0	0	0
20	Tyldum	Jon Age	NOR	13	27	29.9	4.4	0	0	1	1	1	2	3	8	10	3	0	0	0
21	Ryzhenkov	Oleg	BLR	11	25	26.4	5.5	0	0	1	1	1	1	5	6	9	2	0	0	0
22	Sikora	Tomasz	POL	9	43	57.0	2.7	0	0	1	1	1	1	1	1	2	7	0	0	0
23	Flandin	Herve	FRA	13	12	20.4	8.6	0	0	0	0	2	4	8	10	11	2	0	0	0
24	Passler	Johann	ITA	9	24	30.0	7.0	0	0	0	0	2	3	4	4	5	4	0	0	0
25	Gredler	Ludwig	AUT	11	16	27.1	7.5	0	0	0	0	1	3	7	8	8	3	0	0	0
26	Kirchner	Mark	GER	14	21	26.5	4.9	0	0	0	0	1	2	7	10	10	4	0	0	0
27	Eder	Alfred	AUT	13	29	27.2	4.3	0	0	0	0	1	2	6	6	10	3	0	0	0
28	Steinigen	Jens	GER	12	26	28.8	5.0	0	0	0	0	1	1	5	8	9	3	0	0	0
29	Medvedtsev	Valeriy	RUS	7	38	30.6	4.6	0	0	0	0	1	1	2	5	5	2	0	0	0
