No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	
DSQ
1	Ryzhenkov	Oleg	BLR	13	5	18.2	13.4	2	1	1	4	4	5	8	10	11	2	0	0	0
2	Bailly-Salins	Patrice	FRA	13	7	26.4	10.9	2	1	0	3	3	5	7	10	10	3	0	0	0
3	Gredler	Ludwig	AUT	12	12	21.2	10.3	1	2	0	3	3	3	6	9	11	1	0	0	0
4	Tyldum	Jon Age	NOR	14	1	15.0	13.9	1	1	0	2	3	7	10	11	13	1	0	0	0
5	Sikora	Tomasz	POL	13	16	26.2	8.4	1	1	0	2	2	3	6	8	10	3	0	0	0
6	Pallhuber	Wilfried	ITA	13	3	27.0	13.7	1	0	1	2	6	7	9	9	9	4	0	0	0
7	Favre	Patrick	ITA	13	2	16.5	14.8	1	0	1	2	5	8	10	10	12	1	0	0	0
8	Kobelev	Alexei	RUS	11	20	24.1	8.2	1	0	1	2	2	3	4	7	9	2	0	0	0
9	Drachev	Vladimir	RUS	12	9	22.6	10.8	1	0	0	1	3	4	8	9	10	2	0	0	0
10	Maigourov	Viktor	RUS	12	23	28.8	7.0	1	0	0	1	1	3	4	6	9	3	0	0	0
11	Hietalahti	Vesa	FIN	14	27	28.6	5.1	1	0	0	1	1	2	5	8	11	3	0	0	0
12	Glimsdal	Sylfest	NOR	11	28	34.5	6.2	1	0	0	1	1	2	4	6	7	4	0	0	0
13	Bjoerndalen	Ole Einar	NOR	14	4	14.9	14.2	0	1	2	3	4	9	10	12	13	1	0	0	0
14	Gross	Ricco	GER	14	8	23.6	9.3	0	1	2	3	4	4	7	10	12	2	0	0	0
15	Fischer	Sven	GER	13	18	29.5	7.3	0	1	0	1	3	3	5	8	10	3	0	0	0
16	Mouslimov	Pavel	RUS	13	13	20.7	9.2	0	1	0	1	2	4	7	10	12	1	0	0	0
17	Flandin	Herve	FRA	14	15	23.6	8.1	0	1	0	1	2	3	7	11	11	3	0	0	0
18	Kuoppa	Fredrik	SWE	7	33	31.1	7.6	0	1	0	1	2	2	3	3	5	2	0	0	0
19	Passler	Johann	ITA	7	29	23.1	9.4	0	1	0	1	1	2	4	5	6	1	0	0	0
20	Sashurin	Vadim	BLR	14	19	30.4	6.6	0	1	0	1	1	1	6	8	10	4	0	0	0
21	Riabov	Edouard	RUS	13	6	16.8	11.4	0	0	1	1	2	6	8	11	12	1	0	0	0
22	Sendel	Peter	GER	12	21	25.5	7.5	0	0	1	1	2	3	5	8	9	3	0	0	0
23	Luck	Frank	GER	12	10	15.6	10.8	0	0	1	1	1	4	9	12	12	0	0	0	0
24	Poklukar	Matjaz	SLO	14	37	50.9	3.1	0	0	1	1	1	2	2	4	6	8	0	0	0
25	Pantov	Dmitriy	KAZ	12	43	35.8	3.1	0	0	1	1	1	1	2	7	8	4	0	0	0
26	Niemi	Jaakko	FIN	11	41	39.8	3.5	0	0	1	1	1	1	2	5	7	4	0	0	0
27	Carrara	Pieralberto	ITA	14	11	24.6	9.1	0	0	0	0	2	5	7	9	10	4	0	0	0
28	Steinigen	Jens	GER	12	17	31.0	8.2	0	0	0	0	2	4	6	7	8	4	0	0	0
29	Kirchner	Mark	GER	14	14	22.7	8.5	0	0	0	0	1	3	7	11	12	2	0	0	0
30	Leitgeb	Hubert	ITA	11	25	27.3	7.5	0	0	0	0	1	3	5	7	8	3	0	0	0
31	Perrot	Franck	FRA	13	31	38.1	4.3	0	0	0	0	1	2	4	8	9	4	0	0	0
32	Laurent	Lionel	FRA	12	38	33.5	3.5	0	0	0	0	1	1	2	6	8	4	0	0	0
33	Bricis	Ilmars	LAT	8	49	41.4	3.4	0	0	0	0	1	1	1	3	5	3	0	0	0
34	Zvonkov	Roman	UKR	8	52	45.5	3.0	0	0	0	0	1	1	1	2	3	5	0	0	0
35	Zingerle	Andreas	ITA	13	26	31.0	6.2	0	0	0	0	0	4	5	8	8	5	0	0	0
