No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Disl	Uschi	GER	12	2	11.3	17.8	4	1	0	5	6	8	9	10	12	0	0	0	0
2	Claret	Emmanuelle	FRA	14	1	8.9	18.0	2	1	0	3	7	9	13	14	14	0	0	0	0
3	Behle	Petra	GER	12	3	11.8	16.3	1	2	1	4	5	6	10	11	11	1	0	0	0
4	Koblar	Andreja	SLO	14	4	17.6	13.8	1	1	1	3	3	6	11	12	13	1	0	0	0
5	Vodopyanova	Tetyana	UKR	12	18	21.6	8.9	1	1	0	2	2	3	5	10	10	2	0	0	0
6	Forsberg	Magdalena	SWE	11	5	10.8	16.2	1	0	3	4	5	6	10	11	11	0	0	0	0
7	Paramyguina	Svetlana	BLR	11	9	14.0	14.3	1	0	1	2	4	5	8	9	11	0	0	0	0
8	Greiner-Petter-M.	Simone	GER	8	15	13.3	15.0	1	0	1	2	2	4	7	7	8	0	0	0	0
9	Mihokova	Sona	SVK	14	19	26.6	7.9	1	0	1	2	2	2	7	10	11	3	0	0	0
10	Romasko	Olga	RUS	7	17	13.9	16.4	1	0	0	1	1	5	6	6	6	1	0	0	0
11	Melnik	Olga	RUS	12	10	14.1	13.1	0	2	0	2	2	4	10	11	12	0	0	0	0
12	Skjelbreid	Ann Elen	NOR	14	13	21.9	9.1	0	2	0	2	2	4	7	9	13	1	0	0	0
13	Baverel	Florence	FRA	14	6	13.1	13.6	0	1	1	2	2	7	11	13	14	0	0	0	0
14	Yu	Shumei	CHN	4	32	19.5	13.0	0	1	1	2	2	2	2	3	3	1	0	0	0
15	Bedard	Myriam	CAN	14	23	32.4	5.0	0	1	0	1	1	3	4	4	10	4	0	0	0
16	Permiakova	Natalia	BLR	12	26	31.1	4.9	0	1	0	1	1	1	4	7	7	5	0	0	0
17	Petrova	Olena	UKR	12	16	16.8	10.5	0	0	1	1	2	3	8	11	12	0	0	0	0
18	Mikkelsplass	Hildegunn	NOR	14	12	19.1	10.2	0	0	1	1	1	5	8	11	13	1	0	0	0
19	Lampinen	Mari	FIN	13	24	30.7	5.2	0	0	1	1	1	2	3	8	10	3	0	0	0
20	Apel	Katrin	GER	11	33	29.3	4.4	0	0	1	1	1	2	3	5	9	2	0	0	0
21	Santer	Nathalie	ITA	14	7	19.8	12.4	0	0	0	0	5	7	9	11	12	2	0	0	0
22	Briand	Anne	FRA	14	8	12.3	13.9	0	0	0	0	3	7	12	14	14	0	0	0	0
23	Koukleva	Galina	RUS	10	22	20.0	7.3	0	0	0	0	2	2	4	8	10	0	0	0	0
24	Niogret	Corinne	FRA	14	11	17.9	11.6	0	0	0	0	1	7	10	11	12	2	0	0	0
25	Sikveland	Annette	NOR	14	14	18.8	8.9	0	0	0	0	1	5	8	11	14	0	0	0	0
26	Weisleitner	Brigitte	AUT	14	25	30.1	4.3	0	0	0	0	1	2	4	8	10	4	0	0	0
27	Poiree	Liv Grete	NOR	10	29	26.2	5.4	0	0	0	0	1	2	3	5	9	1	0	0	0
28	Karagiozova	Iva	BUL	14	35	35.6	3.2	0	0	0	0	1	2	2	6	7	7	0	0	0
29	Sheshkil	Inna	KAZ	8	34	21.6	5.9	0	0	0	0	1	1	3	7	8	0	0	0	0
30	Cesnekova	Irena	CZE	12	36	34.7	3.7	0	0	0	0	1	1	2	5	7	5	0	0	0
31	Doulova	Margarita	KAZ	6	39	25.3	6.2	0	0	0	0	1	1	2	4	5	1	0	0	0
32	Hakova	Eva	CZE	11	20	29.8	7.1	0	0	0	0	0	2	6	6	7	4	0	0	0
33	Zellner	Martina	GER	11	30	33.1	4.9	0	0	0	0	0	2	3	5	7	4	0	0	0
34	Zubrilova	Olena	UKR	10	21	19.6	7.8	0	0	0	0	0	1	6	9	10	0	0	0	0
35	Schylander	Maria	SWE	12	27	26.6	4.8	0	0	0	0	0	1	5	7	10	2	0	0	0
36	Mallat	Annukka	FIN	12	28	33.0	4.8	0	0	0	0	0	1	4	7	8	4	0	0	0
37	Claudel	Veronique	FRA	12	38	38.8	3.2	0	0	0	0	0	1	3	3	6	6	0	0	0
38	Ryzhenkova	Natalia	BLR	10	43	33.8	2.9	0	0	0	0	0	1	2	4	8	2	0	0	0
39	Schwaab	Kathi	GER	10	49	33.4	2.3	0	0	0	0	0	1	2	4	7	3	0	0	0
40	Tserbe Nessina	Valentina	UKR	9	44	41.3	3.1	0	0	0	0	0	1	2	2	3	6	0	0	0
41	Kindt	Steffi	GER	2	40	10.0	16.0	0	0	0	0	0	1	2	2	2	0	0	0	0
42	Bauer	Tanja	GER	2	46	13.5	12.5	0	0	0	0	0	1	2	2	2	0	0	0	0
43	Dafovska	Ekaterina	BUL	8	47	41.8	3.0	0	0	0	0	0	1	1	2	3	5	0	0	0
44	Anisimova	Olga	RUS	4	52	27.3	4.0	0	0	0	0	0	1	1	1	4	0	0	0	0
45	Noskova	Luiza	RUS	3	53	35.7	5.3	0	0	0	0	0	1	1	1	1	2	0	0	0
46	Stera-Kustusz	Anna	POL	12	31	30.8	4.5	0	0	0	0	0	0	4	6	10	2	0	0	0
47	Holanti	Katja	FIN	12	37	41.3	3.3	0	0	0	0	0	0	4	4	5	7	0	0	0
48	Wooley	Stacey	USA	14	41	35.9	2.3	0	0	0	0	0	0	3	6	10	4	0	0	0
49	Toupilenko	Olessia	RUS	9	45	33.3	2.9	0	0	0	0	0	0	2	5	6	3	0	0	0
50	Lemesh	Nina	UKR	8	42	38.1	3.8	0	0	0	0	0	0	2	4	4	4	0	0	0
51	Kaden	Sylvia	GER	6	51	31.7	3.3	0	0	0	0	0	0	2	3	4	2	0	0	0
52	Suga	Hiromi	JPN	12	59	49.1	1.0	0	0	0	0	0	0	2	3	4	8	0	0	0
53	Petcherskaia	Svetlana	RUS	5	57	41.0	2.6	0	0	0	0	0	0	2	3	3	2	0	0	0
54	Keddie	Nikki	CAN	9	48	46.9	2.7	0	0	0	0	0	0	2	3	3	6	0	0	0
55	Halinarova	Martina	SVK	12	50	39.8	1.8	0	0	0	0	0	0	2	2	6	6	0	0	0
56	Murinova	Anna	SVK	9	64	41.6	0.9	0	0	0	0	0	0	1	4	5	4	0	0	0
57	Suszka	Agata	POL	12	56	44.5	1.1	0	0	0	0	0	0	1	4	5	7	0	0	0
58	Wang	Jinfen	CHN	5	55	27.4	2.8	0	0	0	0	0	0	1	4	4	1	0	0	0
59	Trocker	Petra	ITA	12	54	44.2	1.3	0	0	0	0	0	0	1	3	4	8	0	0	0
60	Salonen	Eija	FIN	7	62	38.4	1.4	0	0	0	0	0	0	1	3	3	4	0	0	0
61	Piton	Halina	POL	9	60	46.3	1.2	0	0	0	0	0	0	1	2	4	5	0	0	0
62	Andreassen	Gunn Margit	NOR	6	63	43.3	1.5	0	0	0	0	0	0	1	1	3	3	0	0	0
63	Sabasteanski	Kristina	USA	12	65	56.5	0.5	0	0	0	0	0	0	1	1	2	10	0	0	0
64	Takefushi	Sakiko	JPN	12	61	61.4	0.8	0	0	0	0	0	0	1	1	1	11	0	0	0
65	Berg	Inger-Kristin	CAN	6	58	48.3	2.0	0	0	0	0	0	0	1	1	1	5	0	0	0
66	Mileshina	Irina	RUS	11	66	40.2	0.5	0	0	0	0	0	0	0	4	7	4	0	0	0
67	Shindo	Mami	JPN	13	74	53.0	0.1	0	0	0	0	0	0	0	3	4	9	0	0	0
68	Brankovic-Likozar	Tadeja	SLO	10		51.0	0.0	0	0	0	0	0	0	0	2	4	6	0	0	0
69	Brice	Anzela	LAT	8		44.4	0.0	0	0	0	0	0	0	0	2	4	4	0	0	0
70	Markova	Tatiana	RUS	6	75	41.5	0.2	0	0	0	0	0	0	0	2	3	3	0	0	0
71	Holubcova	Katerina	CZE	6	72	45.0	0.3	0	0	0	0	0	0	0	2	2	4	0	0	0
72	Cederstrema	Ieva	LAT	8		46.0	0.0	0	0	0	0	0	0	0	2	2	6	0	0	0
73	Miller Smith	Joan	USA	10		47.7	0.0	0	0	0	0	0	0	0	1	4	6	0	0	0
74	Pallhuber	Siegrid	ITA	12		46.7	0.0	0	0	0	0	0	0	0	1	4	8	0	0	0
75	Gros	Christelle	FRA	8		45.1	0.0	0	0	0	0	0	0	0	1	3	5	0	0	0
76	Sotropa	Adina	ROM	6		45.0	0.0	0	0	0	0	0	0	0	1	3	3	0	0	0
77	Novoselskaja	Larisa	RUS	2	67	28.5	2.5	0	0	0	0	0	0	0	1	2	0	0	0	0
78	Vladimirskaia	Irina	RUS	4	70	36.3	0.8	0	0	0	0	0	0	0	1	2	2	0	0	0
79	Saposchnikova	Elena	RUS	2	69	28.5	2.0	0	0	0	0	0	0	0	1	2	0	0	0	0
80	Abe	Yukari	JPN	12	73	62.8	0.2	0	0	0	0	0	0	0	1	2	10	0	0	0
81	Popova	Radka	BUL	14	68	59.8	0.4	0	0	0	0	0	0	0	1	1	13	0	0	0
82	Murashko	Elena	KAZ	6		54.5	0.0	0	0	0	0	0	0	0	1	1	5	0	0	0
83	Gouschina	Marina	RUS	1	71	23.0	3.0	0	0	0	0	0	0	0	1	1	0	0	0	0
84	Song	Aiqin	CHN	4		46.8	0.0	0	0	0	0	0	0	0	1	1	3	0	0	0
85	Ishmouratova	Svetlana	RUS	1		27.0	0.0	0	0	0	0	0	0	0	1	1	0	0	0	0
86	Kjustad	Anne Kristine	NOR	6		49.3	0.0	0	0	0	0	0	0	0	1	1	5	0	0	0
87	Rim	Kerryn	AUS	6		38.8	0.0	0	0	0	0	0	0	0	0	4	2	0	0	0
88	Skinner	Ntala	USA	13		48.8	0.0	0	0	0	0	0	0	0	0	4	9	0	0	0
89	Perunka	Sanna-Leena	FIN	5		54.0	0.0	0	0	0	0	0	0	0	0	2	3	0	0	0
90	Roman	Ana	ROM	6		46.0	0.0	0	0	0	0	0	0	0	0	2	4	0	0	0
91	Dubok	Elena	KAZ	4		54.8	0.0	0	0	0	0	0	0	0	0	1	3	0	0	0
92	Dostalova	Hana	CZE	6		64.0	0.0	0	0	0	0	0	0	0	0	1	5	0	0	0
93	Merkushina	Irina	UKR	3		41.3	0.0	0	0	0	0	0	0	0	0	1	2	0	0	0
94	Alexandrova	Emilia	BUL	12		71.3	0.0	0	0	0	0	0	0	0	0	1	11	0	0	0
95	Moskalenko	Nadejda	UKR	2		44.5	0.0	0	0	0	0	0	0	0	0	1	1	0	0	0
96	Salmela	Kara	USA	12		52.2	0.0	0	0	0	0	0	0	0	0	1	11	0	0	0
97	Arlouskaya	Ludmila	BLR	4		54.0	0.0	0	0	0	0	0	0	0	0	1	3	0	0	0
98	Kondratieva	Ioulia	RUS	3		48.0	0.0	0	0	0	0	0	0	0	0	1	2	0	0	0
99	Danilo	Izabela	POL	6		61.8	0.0	0	0	0	0	0	0	0	0	1	5	0	0	0
100	Gurieva	Ludmila	KAZ	7		55.1	0.0	0	0	0	0	0	0	0	0	1	6	0	0	0
101	Trosten	Signe	NOR	2		38.5	0.0	0	0	0	0	0	0	0	0	1	1	0	0	0
102	Gwizdon	Magdalena	POL	4		75.8	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
103	Hjert	Susanne	SWE	4		66.8	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
104	Meiszlingerova	Jana	SVK	4		65.0	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
105	Pesinova	Jitka	CZE	3		59.0	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
106	Borutova	Kamila	CZE	2		55.0	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
107	Akhatova	Albina	RUS	1		56.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
108	Petris	Silvia	ITA	3		68.7	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
109	Eckschlager	Iris	AUT	2		70.0	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
110	Gorohova	Elena	MDA	1		72.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
111	Liu	Jinfeng	CHN	2		56.0	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
112	Daniluk	Iwona	POL	12		68.3	0.0	0	0	0	0	0	0	0	0	0	12	0	0	0
113	Nordyke	Deborah	USA	13		66.6	0.0	0	0	0	0	0	0	0	0	0	13	0	0	0
114	Wuestenfeld	Katja	GER	2		52.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
115	Kuisle	Mira	GER	3		58.0	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
116	Fritzel	Cory	USA	4		79.8	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
117	Tomsova	Irena	CZE	3		64.0	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
118	Vitova	Lucie	CZE	2		59.0	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
119	Dira	Bernadett	HUN	11		70.1	0.0	0	0	0	0	0	0	0	0	0	11	0	0	0
120	Belan	Svetlana	BLR	7		68.0	0.0	0	0	0	0	0	0	0	0	0	7	0	0	0
121	Bozsik	Anna	HUN	7		66.0	0.0	0	0	0	0	0	0	0	0	0	7	0	0	0
122	Brouneus	Kristina	SWE	6		55.8	0.0	0	0	0	0	0	0	0	0	0	6	0	0	0
123	Gayasova	Elena	UKR	2		57.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
124	Grzywa	Iwona	POL	6		65.8	0.0	0	0	0	0	0	0	0	0	0	6	0	0	0
125	Collard	Michelle	CAN	6		56.2	0.0	0	0	0	0	0	0	0	0	0	6	0	0	0
126	Siratchetdinova	Marina	RUS	4		65.5	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
127	Lidow	Malin	SWE	3		62.3	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
128	Pavkovcekova	Marcela	SVK	2		73.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
129	Thomson	Joanne	CAN	4		75.0	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
130	Ryter	Linn	CAN	3		76.3	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
131	Larisi	Lucija	SLO	5		63.6	0.0	0	0	0	0	0	0	0	0	0	5	0	0	0
132	Bekecs	Zsuzsanna	HUN	8		72.9	0.0	0	0	0	0	0	0	0	0	0	8	0	0	0
133	Agolakova	Irina	RUS	1		42.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0
134	Lane	Morwenna	CAN	3		68.7	0.0	0	0	0	0	0	0	0	0	0	3	0	0	0
135	Issikiyska	Silvina	BUL	8		76.4	0.0	0	0	0	0	0	0	0	0	0	8	0	0	0
136	Müller	Franziska	SUI	4		81.0	0.0	0	0	0	0	0	0	0	0	0	4	0	0	0
137	Yamauchi	Kyoko	JPN	5		69.2	0.0	0	0	0	0	0	0	0	0	0	5	0	0	0
138	Ziemanin	Silvia	POL	2		72.5	0.0	0	0	0	0	0	0	0	0	0	2	0	0	0
