No	Family Name	Given Name	Nation	Races	"World Cup
Rank"	"Rank
(avg)"	"Points
(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Fischer	Sven	GER	21	1	5.6	22.1	6	0	5	11	12	18	21	21	21	0	0	0	0
2	Poiree	Raphael	FRA	23	5	12.7	15.9	4	3	1	8	9	12	18	21	22	1	0	0	0
3	Bjoerndalen	Ole Einar	NOR	21	2	11.2	18.9	3	4	1	8	12	14	19	19	20	1	0	0	0
4	Luck	Frank	GER	23	3	9.2	17.6	2	3	1	6	10	16	20	23	23	0	0	0	0
5	Gross	Ricco	GER	23	4	10.7	16.4	1	3	3	7	8	14	20	22	23	0	0	0	0
6	Hanevold	Halvard	NOR	22	7	16.4	14.6	1	1	1	3	6	10	18	18	20	2	0	0	0
7	Cattarinussi	Rene	ITA	20	10	15.2	14.5	1	1	1	3	5	11	15	17	18	2	0	0	0
8	Drachev	Vladimir	RUS	21	13	20.0	10.8	1	1	0	2	4	8	14	16	19	2	0	0	0
9	Maluhins	Olegs	LAT	18	16	19.3	10.1	1	1	0	2	4	6	10	14	16	2	0	0	0
10	Rostovtsev	Pavel	RUS	22	6	12.8	15.0	1	0	2	3	6	11	19	20	21	1	0	0	0
11	Andresen	Frode	NOR	23	11	18.5	11.3	1	0	2	3	4	6	15	20	20	3	0	0	0
12	Aidarov	Alexei	BLR	21	12	18.8	10.8	1	0	0	1	2	8	14	17	19	2	0	0	0
13	Ryzhenkov	Oleg	BLR	22	14	17.4	9.5	1	0	0	1	1	6	13	18	21	0	0	1	0
14	Sendel	Peter	GER	23	9	14.9	12.7	0	1	0	1	5	12	17	20	22	1	0	0	0
15	Hietalahti	Vesa	FIN	21	15	21.9	8.7	0	1	0	1	2	6	14	16	17	4	0	0	0
16	Glimsdal	Sylfest	NOR	20	18	20.9	8.7	0	1	0	1	1	6	12	16	18	2	0	0	0
17	Heymann	Carsten	GER	19	21	21.6	7.7	0	1	0	1	1	2	10	15	16	3	0	0	0
18	Favre	Patrick	ITA	20	26	26.3	5.2	0	1	0	1	1	2	7	14	16	4	0	0	0
19	Sashurin	Vadim	BLR	23	8	12.8	13.6	0	0	1	1	5	12	19	22	23	0	0	0	0
20	Rozhkov	Sergei	RUS	17	19	21.4	9.3	0	0	1	1	2	5	11	14	14	3	0	0	0
21	Masarik	Ivan	CZE	21	29	27.1	4.7	0	0	1	1	2	2	7	12	17	4	0	0	0
22	Wuestenfeld	Jan	GER	17	31	34.2	4.3	0	0	1	1	1	3	4	6	8	9	0	0	0
23	Deryzemlya	Andriy	UKR	19	40	38.1	2.3	0	0	1	1	1	1	2	7	11	8	0	0	0
24	Kuoppa	Fredrik	SWE	8	47	30.4	2.2	0	0	1	1	1	1	1	3	5	2	0	1	0
25	Gredler	Ludwig	AUT	17	17	19.1	10.5	0	0	0	0	3	6	11	13	15	2	0	0	0
26	Perner	Wolfgang	AUT	23	20	20.4	6.9	0	0	0	0	1	3	12	20	23	0	0	0	0
27	Puurunen	Paavo	FIN	19	28	23.3	5.0	0	0	0	0	1	3	6	14	18	0	0	1	0
28	Rottmann	Wolfgang	AUT	18	27	25.7	5.3	0	0	0	0	1	3	6	11	16	2	0	0	0
29	Azambre	Stephan	FRA	22	30	32.8	3.9	0	0	0	0	1	3	5	11	14	7	0	1	0
30	Maigourov	Viktor	RUS	19	25	24.2	5.8	0	0	0	0	1	2	8	13	17	2	0	0	0
31	Konovalov	Sergei	RUS	14	37	34.9	3.4	0	0	0	0	1	1	4	4	8	6	0	0	0
32	Hakkinen	Jay	USA	18	39	42.1	2.3	0	0	0	0	1	1	3	6	8	10	0	0	0
33	Bjoerndalen	Dag	NOR	18	22	19.7	7.0	0	0	0	0	0	2	10	17	17	1	0	0	0
34	Bricis	Ilmars	LAT	18	23	21.5	6.9	0	0	0	0	0	2	10	14	17	1	0	0	0
35	Pallhuber	Wilfried	ITA	19	24	26.2	5.9	0	0	0	0	0	2	8	14	17	2	0	0	0
36	Kounaev	Viatcheslav	RUS	9	34	25.9	5.9	0	0	0	0	0	2	4	4	8	1	0	0	0
37	Chabloz	Jean Marc	SUI	22	32	31.0	2.7	0	0	0	0	0	1	4	8	16	4	0	2	0
38	Ozbolt	Janez	SLO	21	35	36.5	2.5	0	0	0	0	0	1	4	6	13	8	0	0	0
39	Garabik	Petr	CZE	17	38	35.9	2.6	0	0	0	0	0	1	3	8	10	7	0	0	0
