√No	Family Name	Given Name	Nation	Races	"World CupRank"	"Rank(avg)"	"Points(avg)"	Wins	2nd	3rd	Podiums	Top5s	Top10s	Top20s	Top30s	Top40s	>40	LAP	DNF	DSQ
1	Eckhoff	Tiril	NOR	20	2	11.4	39.3	7	1	1	9	11	14	17	18	19	1	0	0	0
2	Wierer	Dorothea	ITA	21	1	8.5	39.4	4	2	1	7	11	15	18	21	21	0	0	0	0
3	Herrmann	Denise	GER	21	3	11.0	35.5	3	2	0	5	9	12	19	19	19	2	0	0	0
4	Roeiseland	Marte Olsbu	NOR	14	5	6.4	42.6	3	1	3	7	7	11	14	14	14	0	0	0	0
5	Oeberg	Hanna	SWE	19	4	8.4	37.0	1	4	2	7	10	13	17	19	19	0	0	0	0
6	Braisaz-Bouchet	Justine	FRA	21	9	19.2	26.2	1	1	0	2	6	7	12	18	20	1	0	0	0
7	Simon	Julia	FRA	21	8	16.5	26.5	1	0	2	3	4	7	14	18	20	1	0	0	0
8	Makarainen	Kaisa	FIN	21	11	21.0	24.1	1	0	0	1	3	5	14	16	18	3	0	0	0
9	Tandrevold	Ingrid Landmark	NOR	21	7	17.3	26.7	0	2	1	3	4	7	14	17	20	1	0	0	0
10	Bescond	Anais	FRA	20	15	24.0	22.5	0	1	2	3	3	7	12	13	15	5	0	0	0
11	Preuss	Franziska	GER	17	6	10.8	31.8	0	1	1	2	5	11	16	16	16	1	0	0	0
12	Vittozzi	Lisa	ITA	21	10	20.2	25.1	0	1	1	2	4	9	14	18	18	3	0	0	0
13	Fialkova	Paulina	SVK	19	13	19.3	25.7	0	1	0	1	4	7	14	16	16	3	0	0	0
14	Hinz	Vanessa	GER	19	16	22.2	20.7	0	1	0	1	2	3	8	16	17	2	0	0	0
15	Gasparin	Selina	SUI	15	40	35.7	11.6	0	1	0	1	1	2	3	7	9	6	0	0	0
16	Dunklee	Susan	USA	14	39	39.1	12.6	0	1	0	1	1	2	3	6	9	5	0	0	0
17	Dzhima	Yuliia	UKR	14	36	28.1	12.8	0	1	0	1	1	1	4	8	11	2	0	1	0
18	Davidova	Marketa	CZE	20	14	20.4	23.9	0	0	3	3	4	7	11	16	19	1	0	0	0
19	Persson	Linn	SWE	18	19	24.2	19.2	0	0	1	1	3	3	8	13	14	4	0	0	0
20	Mironova	Svetlana	RUS	17	23	29.7	15.9	0	0	1	1	2	2	7	11	12	5	0	0	0
21	Haecki	Lena	SUI	18	22	31.1	16.7	0	0	1	1	1	4	7	12	12	6	0	0	0
22	Charvatova	Lucie	CZE	20	27	32.1	12.3	0	0	1	1	1	2	4	13	14	6	0	0	0
23	Hojnisz-Starega	Monika	POL	18	12	14.5	27.8	0	0	0	0	3	10	14	16	16	1	0	1	0
24	Kuklina	Larisa	RUS	18	21	23.8	18.6	0	0	0	0	1	3	9	15	16	2	0	0	0
25	Bilosiuk	Olena	UKR	14	25	24.9	15.8	0	0	0	0	1	2	8	9	12	2	0	0	0
26	Skottheim	Johanna	SWE	8	45	32.5	14.4	0	0	0	0	1	2	3	3	5	3	0	0	0
27	Eder	Mari	FIN	18	30	34.3	13.2	0	0	0	0	1	1	5	10	11	7	0	0	0
28	Sola	Hanna	BLR	11	59	48.5	5.1	0	0	0	0	1	1	1	2	4	7	0	0	0
29	Hauser	Lisa Theresa	AUT	18	18	22.6	18.5	0	0	0	0	0	5	11	12	15	3	0	0	0
30	Innerhofer	Katharina	AUT	19	26	30.4	13.3	0	0	0	0	0	3	6	10	15	4	0	0	0
31	Gasparin	Aita	SUI	19	31	33.3	12.2	0	0	0	0	0	3	5	10	12	6	0	1	0
32	Leshchanka	Iryna	BLR	18	29	31.2	13.4	0	0	0	0	0	3	5	10	11	6	0	1	0
33	Lunder	Emma	CAN	18	34	30.8	11.2	0	0	0	0	0	3	5	7	14	4	0	0	0
34	Yurlova-Percht	Ekaterina	RUS	19	17	23.2	19.1	0	0	0	0	0	2	9	14	16	3	0	0	0
35	Brorsson	Mona	SWE	18	20	25.5	18.8	0	0	0	0	0	2	9	14	16	2	0	0	0
36	Aymonier	Celia	FRA	15	28	28.7	16.4	0	0	0	0	0	2	6	11	12	3	0	0	0
37	Semerenko	Valentina	UKR	16	33	30.3	13.9	0	0	0	0	0	2	6	9	11	5	0	0	0
38	Zuk	Kamila	POL	15	38	38.9	11.3	0	0	0	0	0	2	6	7	8	7	0	0	0
39	Puskarcikova	Eva	CZE	16	35	31.9	12.2	0	0	0	0	0	2	5	9	11	5	0	0	0
40	Semerenko	Vita	UKR	15	41	31.9	11.4	0	0	0	0	0	2	3	7	11	4	0	0	0
41	Fialkova	Ivona	SVK	16	44	42.5	7.5	0	0	0	0	0	2	3	5	7	9	0	0	0
42	Oeberg	Elvira	SWE	19	24	26.3	14.1	0	0	0	0	0	1	6	13	17	2	0	0	0
43	Bendika	Baiba	LAT	17	32	31.2	13.4	0	0	0	0	0	1	4	11	13	4	0	0	0
44	Egan	Clare	USA	14	42	34.4	9.9	0	0	0	0	0	1	2	6	10	4	0	0	0
45	Starykh	Irina	RUS	11	46	36.7	10.3	0	0	0	0	0	1	2	5	7	4	0	0	0
46	Rieder	Christina	AUT	15	48	43.9	6.3	0	0	0	0	0	1	2	4	7	8	0	0	0
47	Chevalier	Chloe	FRA	13	53	41.1	5.8	0	0	0	0	0	1	1	2	8	5	0	0	0
48	Vishnevskaya-Sheporenko	Galina	KAZ	12	71	61.0	2.7	0	0	0	0	0	1	1	1	1	11	0	0	0
49	Horchler	Karolin	GER	14	37	29.9	13.6	0	0	0	0	0	0	5	9	11	3	0	0	0
50	Todorova	Milena	BUL	13	47	42.2	7.6	0	0	0	0	0	0	3	6	7	6	0	0	0
51	Kruchinkina	Elena	BLR	13	49	39.8	7.4	0	0	0	0	0	0	3	3	7	5	1	0	0
52	Knotten	Karoline Offigstad	NOR	14	43	36.9	9.9	0	0	0	0	0	0	2	7	9	5	0	0	0
53	Gasparin	Elisa	SUI	15	55	45.6	4.6	0	0	0	0	0	0	2	3	6	8	0	1	0
54	Zbylut	Kinga	POL	15	56	48.8	4.5	0	0	0	0	0	0	2	3	4	11	0	0	0
55	Reztsova	Kristina	RUS	11	58	47.3	6.0	0	0	0	0	0	0	2	3	4	7	0	0	0
56	Schwaiger	Julia	AUT	11	62	49.3	4.8	0	0	0	0	0	0	2	2	3	8	0	0	0
57	Oja	Regina	EST	15	54	49.5	4.7	0	0	0	0	0	0	1	5	6	9	0	0	0
58	Brun-Lie	Thekla	NOR	8	52	34.9	9.6	0	0	0	0	0	0	1	4	5	3	0	0	0
59	Blashko	Darya	UKR	8	60	43.8	7.4	0	0	0	0	0	0	1	4	4	4	0	0	0
60	Merkushyna	Anastasiya	UKR	8	50	31.4	11.3	0	0	0	0	0	0	1	3	6	2	0	0	0
