No,Family Name,Given Name,Nation,Races,"""World CupRank""","""Rank(avg)""","""Points(avg)""",Wins,2nd,3rd,Podiums,Top5s,Top10s,Top20s,Top30s,Top40s,>40,LAP,DNF,DSQ,World CupRank,Rank(avg),Points(avg),Season,sex,Unnamed: 20,√No,"World Cup
Rank","Rank
(avg)","Points
(avg)",full_name,DOB
1,Kirchner,Mark,GER,14,,,,4,0,2,6,7,10,13,13,13,1,0,0,0,2.0,9.1,15.9,1990-1991,men,,,,,,Mark Kirchner,too_old_young
2,Tchepikov,Sergei,URS,12,,,,3,1,0,4,8,8,11,11,12,0,0,0,0,1.0,8.9,16.5,1990-1991,men,,,,,,Sergei Tchepikov,1967-01-30
3,Luck,Frank,GER,10,,,,1,3,0,4,5,7,9,9,10,0,0,0,0,4.0,9.3,16.0,1990-1991,men,,,,,,Frank Luck,1967-12-05
4,Carrara,Pieralberto,ITA,13,,,,1,1,1,3,4,5,8,9,11,2,0,0,0,5.0,21.0,10.6,1990-1991,men,,,,,,Pieralberto Carrara,1966-02-14
5,Tarasov,Sergei Sen.,URS,10,,,,1,1,0,2,3,6,7,9,9,0,0,0,1,10.0,10.6,11.4,1990-1991,men,,,,,,Sergei Tarasov,1965-02-15
6,Popov,Alexandr,URS,8,,,,1,1,0,2,2,4,5,6,8,0,0,0,0,,15.4,10.6,1990-1991,men,,,,,,Alexandr Popov,1965-02-22
7,Kvalfoss,Eirik,NOR,9,,,,1,0,3,4,4,6,7,9,9,0,0,0,0,12.0,9.6,10.8,1990-1991,men,,,,,,Eirik Kvalfoss,1959-12-25
8,Einang,Geir,NOR,11,,,,1,0,0,1,2,5,8,9,10,1,0,0,0,17.0,16.6,9.2,1990-1991,men,,,,,,Geir Einang,1965-03-08
9,Flandin,Herve,FRA,12,,,,1,0,0,1,1,2,6,9,10,2,0,0,0,,24.3,6.4,1990-1991,men,,,,,,Herve Flandin,1965-06-04
10,Zingerle,Andreas,ITA,14,,,,0,2,2,4,6,11,13,14,14,0,0,0,0,3.0,8.5,15.1,1990-1991,men,,,,,,Andreas Zingerle,1961-11-25
11,Gross,Ricco,GER,13,,,,0,1,0,1,2,4,7,10,13,0,0,0,0,7.0,18.0,9.1,1990-1991,men,,,,,,Ricco Gross,1970-08-22
12,Bailly-Salins,Patrice,FRA,11,,,,0,1,0,1,2,4,6,10,10,1,0,0,0,14.0,17.4,10.1,1990-1991,men,,,,,,Patrice Bailly-Salins,1964-06-21
13,Schuler,Franz,AUT,13,,,,0,1,0,1,1,4,7,10,12,1,0,0,0,9.0,20.2,7.8,1990-1991,men,,,,,,Franz Schuler,1962-10-03
14,Leitgeb,Hubert,ITA,11,,,,0,1,0,1,1,3,6,9,10,1,0,0,0,11.0,19.1,9.7,1990-1991,men,,,,,,Hubert Leitgeb,1965-10-31
15,Zhdanovitch,Anatoli,URS,6,,,,0,1,0,1,1,2,4,5,5,1,0,0,0,,18.8,11.3,1990-1991,men,,,,,,Anatoli Zhdanovitch,1961-12-23
16,Loeberg,Frode,NOR,9,,,,0,0,2,2,2,4,6,7,7,1,0,1,0,13.0,21.0,12.0,1990-1991,men,,,,,,Frode Løberg,1963-01-23
17,Roetsch,Frank Peter,GER,9,,,,0,0,1,1,2,3,5,6,8,1,0,0,0,,22.2,7.0,1990-1991,men,,,,,,Frank Peter Roetsch,1964-04-19
18,Thompson,Josh,USA,9,,,,0,0,1,1,1,5,6,7,7,2,0,0,0,,23.0,8.9,1990-1991,men,,,,,,Josh Thompson,too_old_young
19,Dumont,Christian,FRA,11,,,,0,0,1,1,1,3,6,7,9,2,0,0,0,,25.3,8.7,1990-1991,men,,,,,,Christian Dumont,1963-04-19
20,Bouthiaux,Stephane,FRA,10,,,,0,0,1,1,1,2,3,8,9,1,0,0,0,,25.4,6.2,1990-1991,men,,,,,,Stephane Bouthiaux,1966-03-26
21,Fenne,Gisle,NOR,10,,,,0,0,0,0,4,5,10,10,10,0,0,0,0,6.0,9.3,14.3,1990-1991,men,,,,,,Gisle Fenne,1963-06-09
22,Fischer,Fritz,GER,10,,,,0,0,0,0,2,4,9,10,10,0,0,0,0,15.0,12.4,9.4,1990-1991,men,,,,,,Fritz Fischer,too_old_young
23,Medvedtsev,Valeriy,URS,7,,,,0,0,0,0,2,4,5,6,7,0,0,0,0,,14.1,10.1,1990-1991,men,,,,,,Valeriy Medvedtsev,1964-07-05
24,Kashkarov,Juri,URS,7,,,,0,0,0,0,2,2,4,5,6,1,0,0,0,,25.3,7.0,1990-1991,men,,,,,,Juri Kashkarov,1963-12-04
25,Tyldum,Jon Age,NOR,10,,,,0,0,0,0,1,3,7,8,10,0,0,0,0,16.0,17.4,9.9,1990-1991,men,,,,,,Jon Age Tyldum,1968-10-26
