"Rank","Bib","Family.Name","Given.Name","Nation","Lane","Shooting.1","Time","Lane.1","Shooting.2","Time.1","Lane.2","Shooting.3","Time.2","Lane.3","Shooting.4","Time.3","year","location","race_type","ID"
1,33,"Shipulin","Anton","RUS",3,"11.9s  2.2s  2.5s  2.1s  2.4s  
54321","25",17,"10.8s  2.2s  2.4s  3.6s  3.0s  
54321","25.0",3,"14.0s  4.0s  2.4s  2.1s  2.2s  
54320","27.0",19,"10.9s  2.7s  2.2s  2.0s  2.5s  
54321","23","2014-2015","Anterselva","Individual",51
2,28,"Fourcade","Martin","FRA",5,"17.9s  2.7s  2.9s  3.4s  3.7s  
54321","33",16,"11.6s  3.2s  3.1s  6.2s  2.9s  
54320","30.0",3,"20.7s  2.6s  3.7s  2.9s  3.4s  
54021","36.0",20,"10.8s  2.7s  2.4s  2.9s  2.2s  
54321","23","2014-2015","Anterselva","Individual",51
3,16,"Semenov","Sergii","UKR",9,"15.5s  2.2s  2.9s  2.4s  2.9s  
54321","28",17,"12.1s  2.4s  2.7s  3.1s  2.8s  
54321","26.0",9,"17.9s  3.0s  2.6s  3.1s  2.8s  
54321","32.0",17,"12.8s  2.9s  2.6s  2.6s  3.2s  
04321","26","2014-2015","Anterselva","Individual",51
4,32,"Bjoerndalen","Ole Einar","NOR",2,"12.8s  3.3s  2.7s  2.9s  3.2s  
54321","28",29,"13.1s  1.9s  2.0s  2.0s  2.1s  
12345","24.0",2,"15.1s  3.2s  4.0s  3.9s  3.8s  
54320","32.0",28,"12.8s  3.2s  3.1s  3.4s  2.9s  
12345","28","2014-2015","Anterselva","Individual",51
5,30,"Schempp","Simon","GER",1,"17.4s  2.9s  2.6s  2.7s  2.4s  
12345","31",16,"13.9s  3.7s  3.0s  2.9s  3.2s  
54301","29.0",1,"18.1s  3.2s  2.5s  2.8s  2.4s  
12345","32.0",18,"15.0s  2.6s  3.7s  3.6s  3.2s  
54320","32","2014-2015","Anterselva","Individual",51
6,11,"Anev","Krasimir","BUL",14,"16.0s  2.7s  2.6s  2.7s  2.7s  
12345","30",19,"14.1s  2.6s  3.1s  2.5s  2.2s  
54021","27.0",14,"16.2s  3.4s  2.9s  2.7s  2.8s  
12345","32.0",16,"14.5s  3.0s  5.4s  3.9s  2.7s  
54321","32","2014-2015","Anterselva","Individual",51
7,40,"Tsvetkov","Maxim","RUS",3,"13.4s  2.6s  2.5s  2.4s  2.2s  
54321","25",24,"14.1s  2.2s  3.0s  3.6s  2.2s  
54321","28.0",3,"17.0s  3.0s  3.9s  2.1s  2.1s  
54321","31.0",23,"11.4s  2.5s  1.8s  6.5s  2.7s  
04321","26","2014-2015","Anterselva","Individual",51
8,24,"Krcmar","Michal","CZE",10,"14.8s  2.2s  2.9s  2.8s  3.3s  
54321","29",17,"13.2s  2.8s  5.8s  2.6s  6.1s  
54321","32.0",10,"17.3s  3.0s  2.9s  3.0s  2.6s  
54321","31.0",17,"15.2s  3.2s  2.7s  5.0s  4.0s  
54021","32","2014-2015","Anterselva","Individual",51
9,1,"Peiffer","Arnd","GER",2,"14.6s  3.4s  2.0s  2.4s  2.0s  
12345","27",27,"13.4s  3.1s  2.4s  4.1s  3.1s  
12045","29.0",2,"15.5s  3.3s  2.0s  2.5s  3.7s  
12345","30.0",28,"12.8s  3.2s  4.3s  3.0s  3.2s  
10345","29","2014-2015","Anterselva","Individual",51
10,25,"Bailey","Lowell","USA",7,"12.4s  2.5s  2.5s  2.5s  2.4s  
12345","25",28,"13.1s  2.5s  2.7s  2.4s  2.5s  
12345","25.0",7,"14.3s  2.6s  2.7s  2.5s  2.8s  
12345","27.0",28,"13.6s  2.5s  2.5s  2.5s  2.6s  
12045","26","2014-2015","Anterselva","Individual",51
11,4,"Doll","Benedikt","GER",1,"14.5s  3.9s  2.2s  3.1s  3.2s  
54321","31",21,"14.3s  3.4s  2.8s  3.8s  3.4s  
54320","30.0",3,"17.3s  5.1s  2.9s  2.4s  2.6s  
54321","34.0",22,"13.8s  2.9s  2.6s  3.6s  2.9s  
54021","28","2014-2015","Anterselva","Individual",51
12,20,"Garanichev","Evgeniy","RUS",3,"13.1s  2.2s  2.5s  3.3s  2.1s  
50321","27",19,"11.9s  2.2s  2.2s  2.0s  2.8s  
54321","23.0",3,"15.7s  2.7s  2.5s  2.4s  2.5s  
54321","29.0",21,"12.2s  2.6s  2.7s  2.5s  2.9s  
54021","25","2014-2015","Anterselva","Individual",51
13,2,"Birkeland","Lars Helge","NOR",2,"16.3s  2.2s  2.6s  2.2s  2.2s  
54301","28",19,"10.1s  1.8s  2.8s  2.1s  2.1s  
54321","21.0",2,"17.3s  2.1s  2.4s  2.5s  2.2s  
54321","29.0",18,"9.2s  1.8s  2.1s  2.2s  2.2s  
54321","20","2014-2015","Anterselva","Individual",51
14,15,"Boe","Johannes Thingnes","NOR",2,"17.3s  3.1s  2.8s  5.6s  2.8s  
54020","35",16,"15.5s  2.6s  2.5s  2.2s  2.1s  
54321","27.0",2,"19.8s  2.7s  2.1s  7.1s  2.0s  
54321","37.0",16,"14.6s  2.1s  1.8s  1.7s  1.7s  
54321","25","2014-2015","Anterselva","Individual",51
15,3,"Fillon Maillet","Quentin","FRA",4,"19.7s  3.4s  3.3s  3.1s  3.0s  
12345","36",20,"11.9s  2.5s  2.5s  2.5s  2.4s  
12345","24.0",5,"17.9s  3.0s  3.0s  3.9s  3.3s  
12045","35.0",20,"14.0s  2.7s  3.7s  2.6s  2.2s  
02340","29","2014-2015","Anterselva","Individual",51
16,74,"Siemakov","Volodymyr","UKR",9,"16.1s  2.5s  2.2s  2.5s  2.2s  
54321","28",27,"19.7s  2.6s  2.6s  2.5s  2.6s  
04321","32.0",9,"16.1s  2.4s  2.2s  2.1s  2.5s  
54321","28.0",27,"16.0s  2.0s  2.0s  2.6s  2.5s  
54321","27","2014-2015","Anterselva","Individual",51
