"Rank","Bib","Family.Name","Given.Name","Nation","Lane","Shooting.1","Time","Lane.1","Shooting.2","Time.1","Lane.2","Shooting.3","Time.2","Lane.3","Shooting.4","Time.3","year","location","race_type","ID"
1,15,"Dahlmeier","Laura","GER",4,"14.1s  3.7s  2.9s  
2.9s  2.9s  
02345","31",30,"16.4s  5.3s  13.6s  4.4s  5.0s  
54301","48.0",4,"17.4s  4.2s  3.2s  8.6s  2.8s  
12345","40",30,"23.9s  8.8s  3.9s  12.9s  7.7s  
54321","59.0","2014-2015","Anterselva","Individual",51
2,32,"Chevalier-Bouchet","Anais","FRA",4,"15.7s  
2.6s  3.0s  2.7s  2.6s  
54321","31",30,"12.4s  2.4s  2.5s  2.0s  2.5s  
50321","25.0",4,"18.5s  2.5s  6.1s  2.5s  2.5s  
54321","36",30,"14.6s  2.1s  2.4s  2.2s  2.0s  
54321","26.0","2014-2015","Anterselva","Individual",51
3,59,"Runggaldier","Alexia","ITA",9,"15.9s  2.5s  2.6s  
2.4s  6.8s  
12345","33",22,"14.9s  2.6s  2.4s  2.6s  3.0s  
04321","28.0",9,"25.7s  2.6s  2.5s  3.3s  2.7s  
12345","41",21,"14.9s  2.4s  2.1s  8.7s  3.9s  
54321","35.0","2014-2015","Anterselva","Individual",51
4,24,"Dorin Habert","Marie","FRA",4,"20.0s  2.7s  2.7s  
2.4s  2.4s  
54321","37",30,"15.8s  7.5s  4.3s  5.4s  3.9s  
04021","41.0",4,"22.3s  3.7s  2.7s  2.5s  2.5s  
54321","37",30,"19.0s  5.2s  9.8s  7.4s  5.8s  
54321","51.0","2014-2015","Anterselva","Individual",51
5,42,"Hammerschmidt","Maren","GER",5,"17.1s  2.6s  2.9s  
2.7s  2.8s  
12345","33",27,"13.5s  20.6s  3.1s  3.2s  15.1s  
00321","58.0",5,"16.8s  5.0s  3.6s  3.6s  3.4s  
12345","36",29,"15.6s  3.9s  3.9s  4.4s  3.7s  
54321","34.0","2014-2015","Anterselva","Individual",51
6,11,"Hinz","Vanessa","GER",5,"13.9s  2.6s  2.7s  2.8s  
3.1s  
04321","29",17,"14.7s  3.4s  3.8s  3.8s  4.4s  
54321","33.0",5,"15.8s  2.8s  2.8s  4.5s  4.9s  
04321","34",27,"17.8s  9.6s  3.4s  4.0s  5.2s  
50321","43.0","2014-2015","Anterselva","Individual",51
7,31,"Hojnisz-Starega","Monika","POL",7,"19.0s  4.5s  
10.2s  3.1s  2.9s  
10345","43",28,"15.5s  3.6s  2.6s  2.4s  2.2s  
02345","30.0",1,"19.6s  4.0s  3.3s  8.4s  3.4s  
12345","42",29,"18.6s  3.7s  2.5s  4.6s  2.8s  
12045","34.0","2014-2015","Anterselva","Individual",51
8,55,"Podchufarova","Olga","RUS",6,"18.0s  2.0s  2.8s  
2.0s  2.6s  
54321","32",25,"14.8s  4.1s  3.9s  3.7s  3.7s  
54321","32.0",5,"17.6s  2.7s  2.2s  2.4s  2.4s  
54321","31",29,"17.1s  3.4s  3.2s  3.6s  5.6s  
50301","35.0","2014-2015","Anterselva","Individual",51
9,30,"Hildebrand","Franziska","GER",5,"22.1s  
3.8s  3.7s  3.3s  4.0s  
12305","40",20,"21.9s  2.6s  2.1s  2.8s  2.4s  
45123","34.0",5,"24.1s  6.0s  3.6s  2.8s  2.6s  
12305","43",20,"18.5s  3.4s  4.1s  11.5s  2.9s  
05123","43.0","2014-2015","Anterselva","Individual",51
10,6,"Hauser","Lisa Theresa","AUT",11,"14.3s  3.1s  3.4s  
2.9s  3.6s  
12345","31",24,"11.9s  3.4s  2.6s  2.8s  2.6s  
12345","27.0",11,"17.6s  3.6s  3.0s  4.0s  3.0s  
12345","34",28,"18.3s  3.7s  22.8s  6.0s  4.5s  
10045","58.0","2014-2015","Anterselva","Individual",51
