"Name","direction_left","hits_left","try_left","alpha_prior_left","beta_prior_left","alpha_post_left","beta_post_left","mean_post_left","var_post_left","direction_right","hits_right","try_right","alpha_prior_right","beta_prior_right","alpha_post_right","beta_post_right","mean_post_right","var_post_right","final_mean","final_var","hyp_test","preferred_dir","percentage_right","percentage_left"
"Babikov Anton ","left",572,680,1,1,573,109,0.840175953079179,0.000196603690990735,"right",259,290,1,1,260,32,0.89041095890411,0.000333035096135064,-0.0502350058249307,0.000529638787125799,0.985475214416886,"right",0.893103448275862,0.841176470588235
"Bocharnikov Sergey ","left",809,990,1,1,810,182,0.816532258064516,0.000150863373217098,"right",156,220,1,1,157,65,0.707207207207207,0.000928543377943451,0.109325050857309,0.00107940675116055,0.999561964188903,"left",0.709090909090909,0.817171717171717
"Boe Johannes Thingnes ","left",1368,1560,1,1,1369,193,0.876440460947503,6.92850795659829e-05,"right",449,540,1,1,450,92,0.830258302583026,0.000259538588535872,0.0461821583644774,0.000328823668101855,0.994564017594189,"left",0.831481481481481,0.876923076923077
"Bormolini Thomas ","left",1095,1310,1,1,1096,216,0.835365853658537,0.000104744664280184,"right",168,230,1,1,169,63,0.728448275862069,0.000848975902384756,0.106917577796468,0.000953720566664939,0.999732002514358,"left",0.730434782608696,0.83587786259542
"Chenal Thierry ","left",181,210,1,1,182,30,0.858490566037736,0.000570349831276731,"right",57,80,1,1,58,24,0.707317073170732,0.00249421242375809,0.151173492867004,0.00306456225503482,0.99684105213926,"left",0.7125,0.861904761904762
"Christiansen Vetle Sjaastad ","left",1226,1410,1,1,1227,185,0.868980169971671,8.05758203592898e-05,"right",120,130,1,1,121,11,0.916666666666667,0.000574352548036759,-0.0476864966949953,0.000654928368396048,0.968794710469099,"right",0.923076923076923,0.869503546099291
"Claude Fabien ","left",903,1150,1,1,904,248,0.784722222222222,0.000146516267279132,"right",145,200,1,1,146,56,0.722772277227723,0.000987056711816624,0.0619499449944995,0.00113357297909576,0.967115371142631,"left",0.725,0.785217391304348
"Dombrovski Karol ","left",685,810,1,1,686,126,0.844827586206897,0.000161247153494127,"right",67,90,1,1,68,24,0.739130434782609,0.00207329715226538,0.105697151424288,0.00223454430575951,0.987323608330383,"left",0.744444444444444,0.845679012345679
"Dovzan Miha ","left",870,1020,1,1,871,151,0.852250489236791,0.000123088556043442,"right",136,200,1,1,137,65,0.678217821782178,0.00107506604925722,0.174032667454612,0.00119815460530066,0.999999751856775,"left",0.68,0.852941176470588
"Fillon Maillet Quentin ","left",217,270,1,1,218,54,0.801470588235294,0.00058284060230427,"right",1676,1940,1,1,1677,265,0.863542739443872,6.06467712803113e-05,-0.0620721512085781,0.000643487373584581,0.992796648743851,"right",0.863917525773196,0.803703703703704
"Fountain Vinny ","left",24,50,1,1,25,27,0.480769230769231,0.00471000334933571,"right",14,20,1,1,15,7,0.681818181818182,0.00943226733740568,-0.201048951048951,0.0141422706867414,0.954543898841475,"right",0.7,0.48
"Garanichev Evgeniy ","left",948,1090,1,1,949,143,0.869047619047619,0.000104120635750488,"right",284,360,1,1,285,77,0.787292817679558,0.000461330129227935,0.081754801368061,0.000565450764978423,0.999707071780053,"left",0.788888888888889,0.869724770642202
"Gerdzhikov Dimitar ","left",589,730,1,1,590,142,0.806010928961749,0.000213311475246886,"right",114,130,1,1,115,17,0.871212121212121,0.000843620759888702,-0.0652011922503726,0.00105693223513559,0.977547482618898,"right",0.876923076923077,0.806849315068493
"Gjesbakk Fredrik ","left",44,60,1,1,45,17,0.725806451612903,0.00315891184777761,"right",52,60,1,1,53,9,0.854838709677419,0.00196967444626133,-0.129032258064516,0.00512858629403895,0.964209236883166,"right",0.866666666666667,0.733333333333333
"Gow Christian ","left",955,1100,1,1,956,146,0.867513611615245,0.000104201038329573,"right",237,260,1,1,238,24,0.908396946564885,0.000316395186450487,-0.0408833349496405,0.00042059622478006,0.976895982912846,"right",0.911538461538462,0.868181818181818
"Jacquelin Emilien ","left",520,600,1,1,521,81,0.865448504983389,0.000193113416592713,"right",810,980,1,1,811,171,0.825865580448065,0.000146298701403098,0.0395829245353235,0.000339412117995812,0.984164708598427,"left",0.826530612244898,0.866666666666667
"Kazar Matej ","left",374,460,1,1,375,87,0.811688311688312,0.000330130445695226,"right",114,170,1,1,115,57,0.668604651162791,0.00128076573182817,0.143083660525521,0.0016108961775234,0.999818053298934,"left",0.670588235294118,0.81304347826087
"Kilchytskyy Vitaliy ","left",11,20,1,1,12,10,0.545454545454545,0.0107797340998922,"right",121,150,1,1,122,30,0.802631578947368,0.00103538645375048,-0.257177033492823,0.0118151205536427,0.991009061290939,"right",0.806666666666667,0.55
"Kim Yonggyu ","left",151,210,1,1,152,60,0.716981132075472,0.000952672245649046,"right",23,40,1,1,24,18,0.571428571428571,0.0056953013763645,0.1455525606469,0.00664797362201354,0.962881669219817,"left",0.575,0.719047619047619
"Kobonoki Tsukasa ","left",468,570,1,1,469,103,0.81993006993007,0.000257669721386633,"right",214,290,1,1,215,77,0.736301369863014,0.000662667790446632,0.0836287000670562,0.000920337511833265,0.997080167722859,"left",0.737931034482759,0.821052631578947
