"Name","direction_left","hits_left","try_left","alpha_prior_left","beta_prior_left","alpha_post_left","beta_post_left","mean_post_left","var_post_left","direction_right","hits_right","try_right","alpha_prior_right","beta_prior_right","alpha_post_right","beta_post_right","mean_post_right","var_post_right","final_mean","final_var","hyp_test","preferred_dir","percentage_right","percentage_left"
"Abramova Olga ","left",36,50,1,1,37,15,0.711538461538462,0.00387266942056492,"right",60,70,1,1,61,11,0.847222222222222,0.0017731058684255,-0.135683760683761,0.00564577528899042,0.964524047257298,"right",0.857142857142857,0.72
"Aymonier Celia ","left",625,810,1,1,626,186,0.770935960591133,0.000217212429592325,"right",270,390,1,1,271,121,0.691326530612245,0.00054298768112947,0.0796094299788881,0.000760200110721795,0.998057536913553,"left",0.692307692307692,0.771604938271605
"Bankes Megan ","left",387,520,1,1,388,134,0.743295019157088,0.000364832760331457,"right",85,100,1,1,86,16,0.843137254901961,0.00128404683784803,-0.0998422357448726,0.00164887959817948,0.9930295159511,"right",0.85,0.744230769230769
"Belchenko Yelizaveta ","left",433,520,1,1,434,88,0.831417624521073,0.000267996860720477,"right",151,170,1,1,152,20,0.883720930232558,0.000593978310413065,-0.0523033057114853,0.000861975171133542,0.96258323620724,"right",0.888235294117647,0.832692307692308
"Derbusheva Tamara ","left",86,100,1,1,87,15,0.852941176470588,0.00121779151409279,"right",20,20,1,1,21,1,0.954545454545455,0.00188645346748114,-0.101604278074866,0.00310424498157392,0.965895119694412,"right",1,0.86
"Dorin Habert Marie ","left",404,470,1,1,405,67,0.858050847457627,0.000257504419946882,"right",130,180,1,1,131,51,0.71978021978022,0.00110216751362491,0.138270627677407,0.00135967193357179,0.999911526679236,"left",0.722222222222222,0.859574468085106
"Dunklee Susan ","left",999,1230,1,1,1000,232,0.811688311688312,0.000123966258196991,"right",156,220,1,1,157,65,0.707207207207207,0.000928543377943451,0.104481104481104,0.00105250963614044,0.999360187393908,"left",0.709090909090909,0.81219512195122
"Dzhima Yuliia ","left",1113,1310,1,1,1114,198,0.849085365853659,9.75928464179873e-05,"right",210,260,1,1,211,51,0.805343511450382,0.000596065931616542,0.0437418544032769,0.00069365877803453,0.951625844301063,"left",0.807692307692308,0.849618320610687
"Guzik Krystyna ","left",244,290,1,1,245,47,0.839041095890411,0.000460925376441738,"right",129,170,1,1,130,42,0.755813953488372,0.0010668163075182,0.0832271424020389,0.00152774168395994,0.983385917631421,"left",0.758823529411765,0.841379310344828
"Haecki Lena ","left",121,170,1,1,122,50,0.709302325581395,0.00119186437286832,"right",1301,1670,1,1,1302,370,0.778708133971292,0.000103001659329492,-0.0694058083898965,0.00129486603219781,0.973121104204308,"right",0.779041916167665,0.711764705882353
"Hinz Vanessa ","left",1516,1770,1,1,1517,255,0.856094808126411,6.94847645941425e-05,"right",189,210,1,1,190,22,0.89622641509434,0.000436641445922479,-0.0401316069679288,0.000506126210516622,0.962775579347254,"right",0.9,0.856497175141243
"Hoffmann Susanne ","left",27,30,1,1,28,4,0.875,0.00331439393939394,"right",21,30,1,1,22,10,0.6875,0.00651041666666667,0.1875,0.00982481060606061,0.970730718942148,"left",0.7,0.9
"Jislova Jessica ","left",644,750,1,1,645,107,0.857712765957447,0.000162073807531305,"right",294,370,1,1,295,77,0.793010752688172,0.00044006621664641,0.0647020132692748,0.000602140024177715,0.995814782103908,"left",0.794594594594595,0.858666666666667
"Koukalova Gabriela ","left",126,140,1,1,127,15,0.894366197183099,0.000660666451184206,"right",188,230,1,1,189,43,0.814655172413793,0.000648034860400198,0.0797110247693055,0.0013087013115844,0.986217569514621,"left",0.817391304347826,0.9
"Leshchanka Iryna ","left",547,660,1,1,548,114,0.827794561933535,0.000215008635244045,"right",812,930,1,1,813,119,0.872317596566524,0.000119377928496171,-0.0445230346329889,0.000334386563740216,0.992549648742547,"right",0.873118279569893,0.828787878787879
"Nowakowska Weronika ","left",87,100,1,1,88,14,0.862745098039216,0.00114966984318951,"right",177,230,1,1,178,54,0.767241379310345,0.000766446545855384,0.0955037187288709,0.0019161163890449,0.985436813498071,"left",0.769565217391304,0.87
"Podchufarova Olga ","left",139,150,1,1,140,12,0.921052631578947,0.00047525935581989,"right",59,70,1,1,60,12,0.833333333333333,0.00190258751902588,0.087719298245614,0.00237784687484577,0.963981499566884,"left",0.842857142857143,0.926666666666667
"Popova Stefani ","left",91,120,1,1,92,30,0.754098360655738,0.00150759368383794,"right",50,80,1,1,51,31,0.621951219512195,0.00283286626577697,0.132147141143543,0.00434045994961491,0.977561763794979,"left",0.625,0.758333333333333
"Semerenko Valentina ","left",766,900,1,1,767,135,0.850332594235033,0.00014093806579906,"right",111,120,1,1,112,10,0.918032786885246,0.000611777147064671,-0.0677001926502127,0.000752715212863732,0.993198866888442,"right",0.925,0.851111111111111
"Skottheim Johanna ","left",251,280,1,1,252,30,0.893617021276596,0.000335920991382827,"right",72,90,1,1,73,19,0.793478260869565,0.00176204849889221,0.100138760407031,0.00209796949027504,0.985601856147458,"left",0.8,0.896428571428571
"Tanaka Kirari ","left",4,10,1,1,5,7,0.416666666666667,0.0186965811965812,"right",15,20,1,1,16,6,0.727272727272727,0.00862378727991376,-0.310606060606061,0.027320368476495,0.969889528770107,"right",0.75,0.4
"Tang Jialin ","left",128,160,1,1,129,33,0.796296296296296,0.000995144201233726,"right",114,130,1,1,115,17,0.871212121212121,0.000843620759888702,-0.0749158249158249,0.00183876496112243,0.959687454098581,"right",0.876923076923077,0.8
"Vasileva Margarita ","left",84,100,1,1,85,17,0.833333333333333,0.00134843581445523,"right",12,20,1,1,13,9,0.590909090909091,0.0105102407473949,0.242424242424242,0.0118586765618501,0.986998534627311,"left",0.6,0.84
"Viigipuu Kristel ","left",57,70,1,1,58,14,0.805555555555556,0.00214569592423474,"right",5,10,1,1,6,6,0.5,0.0192307692307692,0.305555555555556,0.021376465155004,0.981685901860043,"left",0.5,0.814285714285714
"Voigt Vanessa ","left",142,150,1,1,143,9,0.940789473684211,0.00036408261365488,"right",215,240,1,1,216,26,0.892561983471074,0.000394629996433152,0.0482274902131361,0.000758712610088032,0.960016579736409,"left",0.895833333333333,0.946666666666667
"Wierer Dorothea ","left",1735,2020,1,1,1736,286,0.858555885262117,6.00285106989124e-05,"right",216,270,1,1,217,55,0.797794117647059,0.000590910855292343,0.0607617676150578,0.000650939365991256,0.991380079746342,"left",0.8,0.858910891089109
"Zuk Kamila ","left",714,960,1,1,715,247,0.743243243243243,0.000198164823070102,"right",45,70,1,1,46,26,0.638888888888889,0.0031604092677152,0.104354354354354,0.00335857409078531,0.964122212005068,"left",0.642857142857143,0.74375
