,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,train_loss,val_loss,model
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49930665,0.46181694,0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4838296,0.45635286,1
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.56221646,0.5486046,2
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5650217,0.5570513,3
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.4874321,0.4437676,4
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.4721681,0.44235387,5
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.54406756,0.5234417,6
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,0.5395126938819885,0.5252451300621033,7
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,0.4844297468662262,0.4394110143184662,8
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,0.4695554375648498,0.4395417273044586,9
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,0.5399564504623413,0.5142353177070618,10
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,0.5353931784629822,0.5198120474815369,11
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,0.4943183064460754,0.4495684504508972,12
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,0.4980855882167816,0.4626362919807434,13
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,0.5661415457725525,0.5448123216629028,14
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,0.5805464386940002,0.5585194230079651,15
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,0.4816989600658417,0.4291903972625732,16
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,0.48736771941185,0.4484068751335144,17
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,0.548754870891571,0.5215537548065186,18
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,0.5573629140853882,0.531114935874939,19
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,0.4817758798599243,0.432856947183609,20
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,0.4843416213989258,0.4518941044807434,21
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,0.5465744137763977,0.5163573026657104,22
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,0.553327202796936,0.5267292857170105,23
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,0.4982865154743194,0.4464561343193054,24
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,0.515847384929657,0.4763474464416504,25
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,0.5712730884552002,0.5453227162361145,26
