,trainign_error,test_error,model
0,0.09340559282109462,0.24008048750182498,0.0
1,0.08312921916046012,0.24182907593397596,1.0
2,0.09442116956545465,0.233256802084305,2.0
3,0.08589970473936104,0.2385463529796541,3.0
4,0.10335630426205766,0.2331216893808381,4.0
5,0.08842414121076758,0.2389501059858321,5.0
6,0.09340559282109462,0.24008048750182498,6.0
7,0.08312921916046012,0.24182907593397596,7.0
8,0.09442116956545465,0.233256802084305,8.0
9,0.08589970473936104,0.2385463529796541,9.0
10,0.10335630426205766,0.2331216893808381,10.0
11,0.08842414121076758,0.2389501059858321,11.0
12,0.09340559282109462,0.24008048750182498,12.0
13,0.08312921916046012,0.24182907593397596,13.0
14,0.09442116956545465,0.233256802084305,14.0
15,0.08589970473936104,0.2385463529796541,15.0
16,0.10335630426205766,0.2331216893808381,16.0
17,0.08842414121076758,0.2389501059858321,17.0
18,0.007415129746539351,0.3049570694741882,18.0
19,0.007598963945083637,0.30884512327811064,19.0
20,0.020886131547605657,0.27696447521127077,20.0
21,0.014747914219672253,0.27275998393699075,21.0
22,0.03223407024117342,0.2584338793761717,22.0
23,0.021082262252751338,0.25888002810980126,23.0
24,0.007415129746539351,0.3049570694741882,24.0
25,0.007598963945083637,0.30884512327811064,25.0
26,0.020886131547605657,0.27696447521127077,26.0
27,0.014747914219672253,0.27275998393699075,27.0
28,0.03223407024117342,0.2584338793761717,28.0
29,0.021082262252751338,0.25888002810980126,29.0
30,0.007415129746539351,0.3049570694741882,30.0
31,0.007598963945083637,0.30884512327811064,31.0
32,0.020886131547605657,0.27696447521127077,32.0
33,0.014747914219672253,0.27275998393699075,33.0
34,0.03223407024117342,0.2584338793761717,34.0
35,0.021082262252751338,0.25888002810980126,35.0
36,0.0057625768619644635,0.3338603363275069,36.0
37,0.0034640591335949322,0.35267487499640326,37.0
38,0.018700079834392147,0.286272937004286,38.0
39,0.01097204032867749,0.2944701361483667,39.0
40,0.0302739821539586,0.2600088245215716,40.0
41,0.01787422764295521,0.26530625212983827,41.0
42,0.0057625768619644635,0.3338603363275069,42.0
43,0.0034640591335949322,0.35267487499640326,43.0
44,0.018700079834392147,0.286272937004286,44.0
45,0.01097204032867749,0.2944701361483667,45.0
46,0.0302739821539586,0.2600088245215716,46.0
47,0.01787422764295521,0.26530625212983827,47.0
48,0.0057625768619644635,0.3338603363275069,48.0
49,0.0034640591335949322,0.35267487499640326,49.0
50,0.018700079834392147,0.286272937004286,50.0
51,0.01097204032867749,0.2944701361483667,51.0
52,0.0302739821539586,0.2600088245215716,52.0
53,0.01787422764295521,0.26530625212983827,53.0
